TrackID_1,TrackID_2,TrackID_3,TrackID_4,TrackID_5,TrackID_6,TrackID_7,TrackID_8,TrackID_9,Loc_start_time,Loc_end_time,Loc_beam_time,Loc_m_1,Loc_m_2,Loc_m_min_1,Loc_m_min_2,Loc_m_max_1,Loc_m_max_2,Loc_LatLong_1,Loc_LatLong_2,Loc_m_dilated_1,Loc_m_dilated_2,Loc_m_dilated_min_1,Loc_m_dilated_min_2,Loc_m_dilated_max_1,Loc_m_dilated_max_2,Loc_LatLong_dilated_1,Loc_LatLong_dilated_2,distance_m,distance_m_minmax_1,distance_m_minmax_2,distance_m_dilated,distance_m_dilated_minmax_1,distance_m_dilated_minmax_2
60,,,,,,,,,30-Aug-2017 03:11:33,30-Aug-2017 03:13:02,30-Aug-2017 03:12:11,24921.9114592626,-6204.91009660688,24919.356022791,-6214.57807180541,24921.9114592626,-6204.91009660688,17.6936479932641,-152.730308532267,24916.8005863193,-6224.24604700393,24914.2451498477,-6233.91402220246,24916.8005863193,-6224.24604700393,17.6934732786839,-152.730356723091,370,360,370,350,340,350
2,8,9,10,11,12,13,14,15,30-Aug-2017 01:47:20,30-Aug-2017 02:08:35,30-Aug-2017 01:53:53,3852.17405923697,6708.0704227759,3834.28600393531,6640.39459638623,3867.50667806696,6766.07827396705,17.8103263009478,-152.92897674713,3699.2747048751,6520.92933312501,3673.72034015845,6424.24958113976,3724.82906959175,6617.60908511025,17.8086353431084,-152.930418447196,7470,7400,7530,7250,7150,7350
1,4,6,,,,,,,30-Aug-2017 01:46:56,30-Aug-2017 01:48:24,14-Jul-1916 00:00:00,1474.48127699412,3230.20081146638,1298.15616044925,2563.11052276818,1791.35539948054,4429.02973608342,17.778901182635,-152.951396199807,1467.92250895539,3283.65156040233,1281.37564652387,2577.88937091004,1777.13032202682,4453.4765594238,17.7793841495938,-152.951458042947,3500,2810,4740,3550,2820,4760
18,23,,,,,,,,30-Aug-2017 02:28:02,30-Aug-2017 02:32:34,14-Jul-1916 00:00:00,14897.5072473631,-28.1536503438897,14823.3995896849,-308.524931101102,14986.9475238714,310.22548160447,17.7494595456816,-152.824829429801,14865.9478852959,-30.1553161274201,14779.0630452593,-358.866472877255,14973.2762171058,375.899642210611,17.7494414591542,-152.825127005513,3780,3490,4130,3770,3430,4190
20,22,25,26,27,28,,,,30-Aug-2017 02:29:46,30-Apr-4035 05:20:53,30-Aug-2017 02:39:42,16859.2176554128,1915.0633408719,16833.6632906961,1818.38358888665,16887.3274566011,2021.41106805567,17.7670179451276,-152.806332307722,16773.4403567524,1668.80685865359,16737.6642461491,1533.45520587424,16816.8827767707,1833.1624370285,17.7647928360942,-152.807141108633,6160,6060,6270,5900,5760,6070
21,,,,,,,,,30-Aug-2017 02:31:17,30-Aug-2017 02:33:01,14-Jul-1916 00:00:00,14718.4132773776,-901.380625370899,14634.0838738127,-1220.42380692221,14830.8524821308,-475.989716635818,17.7415692955944,-152.826518120961,14693.9664540372,-915.605702824618,14607.0816140006,-1244.31685957445,14806.4056587905,-490.214794089538,17.7414407615227,-152.826748631986,2890,2560,3330,2870,2530,3310
39,40,43,,,,,,,30-Aug-2017 02:48:45,30-Aug-2017 02:55:13,30-Aug-2017 02:51:22,19959.1421095726,-248.953382377266,19890.1453248376,-509.988712737429,20038.3606401942,50.7538487769952,17.7474644571711,-152.777102875678,19951.8161538767,-433.198681837367,19872.5976232551,-732.905912991628,20054.0336127433,-46.4796738963851,17.745799664933,-152.777171952692,4860,4590,5170,4680,4370,5080
49,,,,,,,,,30-Aug-2017 03:07:38,30-Aug-2017 03:10:18,30-Aug-2017 03:09:02,24068.4472685707,-5637.9895773041,24065.891832099,-5647.65755250262,24071.0027050424,-5628.32160210557,17.6987705384955,-152.738355913399,24065.891832099,-5647.65755250262,24063.3363956274,-5657.32552770114,24073.558141514,-5618.65362690705,17.6986831812054,-152.738380008811,700,690,710,690,680,720
52,55,,,,,,,,30-Aug-2017 03:07:50,30-Aug-2017 03:09:01,30-Aug-2017 03:08:46,24028.8812433693,-5513.75379481867,24013.5486245394,-5571.76164600982,24044.2138621993,-5455.74594362753,17.6998931004658,-152.73872898457,24039.102989256,-5475.08189402457,24018.6594974827,-5552.42569561277,24059.5464810293,-5397.73809243638,17.7002425296261,-152.738632602922,810,750,870,850,770,930
54,56,,,,,,,,30-Aug-2017 03:08:23,30-Aug-2017 03:10:02,30-Aug-2017 03:09:34,24271.1343940206,-5536.41236934453,24263.4680846056,-5565.4162949401,24278.8007034356,-5507.40844374895,17.6996883635248,-152.736444760516,24268.5789575489,-5546.08034454305,24255.8017751906,-5594.42022053568,24283.9115763789,-5488.0724933519,17.6996010062348,-152.736468855928,850,820,880,840,790,900
