TrackID_1,TrackID_2,TrackID_3,TrackID_4,TrackID_5,TrackID_6,TrackID_7,TrackID_8,TrackID_9,TrackID_10,TrackID_11,TrackID_12,TrackID_13,TrackID_14,Loc_start_time,Loc_end_time,Loc_beam_time,Loc_m_1,Loc_m_2,Loc_m_min_1,Loc_m_min_2,Loc_m_max_1,Loc_m_max_2,Loc_LatLong_1,Loc_LatLong_2,Loc_m_dilated_1,Loc_m_dilated_2,Loc_m_dilated_min_1,Loc_m_dilated_min_2,Loc_m_dilated_max_1,Loc_m_dilated_max_2,Loc_LatLong_dilated_1,Loc_LatLong_dilated_2,distance_m,distance_m_minmax_1,distance_m_minmax_2,distance_m_dilated,distance_m_dilated_minmax_1,distance_m_dilated_minmax_2
1,2,5,8,9,15,16,21,32,39,42,44,50,66,29-Sep-2017 22:51:02,29-Sep-2017 23:12:13,29-Sep-2017 23:06:18,-1999.78202206779,9878.71380550136,-2043.59006491175,9714.45530379693,-1953.39703552714,10052.6345720119,23.6225862229653,-175.776556794828,-2105.43671363262,9482.56094844951,-2175.0141934436,9221.67979868366,-2022.97451533812,9791.75342224607,23.6190091070475,-175.777591437753,9030,8860,9210,8620,8350,8940
4,18,22,23,26,33,55,67,,,,,,,29-Sep-2017 22:55:20,29-Sep-2017 23:12:21,29-Sep-2017 23:06:43,-3059.49023668172,7729.19792980289,-3103.29827952567,7564.93942809846,-3013.10525014106,7903.11869631345,23.6031768780176,-175.786934181677,-3104.58420326103,7637.72916913487,-3169.00779567861,7396.1725489813,-3035.00672345005,7898.61031890072,23.6023509484453,-175.787375772607,6680,6510,6860,6580,6330,6850
3,7,12,14,17,20,24,27,35,38,41,53,60,,29-Sep-2017 22:55:01,29-Sep-2017 23:11:45,29-Sep-2017 23:08:03,-3452.41044760424,8196.22438285303,-3485.91071566138,8070.61494037318,-3416.3332358504,8331.49609013903,23.6073939566767,-175.790781924833,-3406.67606727023,8173.67739956337,-3496.86909665484,7835.49813134838,-3324.21386897573,8482.86987335994,23.6071903656351,-175.790334062534,7030,6900,7170,7020,6670,7340
10,11,13,19,28,30,36,45,57,72,,,,,29-Sep-2017 22:58:00,29-Sep-2017 23:13:30,29-Sep-2017 23:09:31,-3960.68328847956,7182.98269439537,-3996.76050023341,7047.71098710938,-3922.02913302902,7327.91666648751,23.5982447535147,-175.795759279752,-4016.08502984569,7052.86487450278,-4085.66250965667,6791.98372473693,-3931.04588785449,7371.71961310549,23.5970698370237,-175.796301811455,5920,5780,6070,5780,5510,6110
40,52,63,,,,,,,,,,,,29-Sep-2017 23:08:47,29-Sep-2017 23:12:11,29-Sep-2017 23:12:11,-3898.71433033527,11140.6789748376,-4295.56365962755,9652.69019469167,-3811.09824464737,11469.1959782465,23.6339813085102,-175.795152437375,-3829.78236050496,11360.3341216822,-4275.59362003459,9688.76231021954,-3801.43597984123,11466.6190345498,23.6359647144309,-175.794477408431,9760,8220,10100,9990,8260,10100
34,37,47,49,51,62,69,73,79,83,93,94,104,109,29-Sep-2017 23:06:44,29-Sep-2017 23:19:04,29-Sep-2017 23:14:21,-5846.82261033109,5698.90774394123,-5859.70732881461,5650.59641991052,-5833.93789184757,5747.21906797194,23.5848440975962,-175.814229644636,-5871.94653731745,5643.51109880108,-5902.86986167789,5527.56392112737,-5835.86932556361,5778.78280608708,23.5843438860804,-175.814475675294,4000,3950,4050,3940,3820,4080
25,43,46,56,68,71,77,81,82,87,96,99,103,,29-Sep-2017 23:08:30,30-Jun-4035 22:30:41,29-Sep-2017 23:18:07,-6705.43748453462,7097.39996694301,-6726.05303410824,7020.10184849387,-6684.82193496099,7174.69808539215,23.5974719726772,-175.822637788105,-6768.57005699085,6938.29535263199,-6807.2242124414,6793.36138053986,-6724.7620141469,7102.55385433642,23.596035315997,-175.823256025388,5130,5050,5210,4960,4810,5130
98,106,117,,,,,,,,,,,,29-Sep-2017 23:17:13,29-Sep-2017 23:20:33,14-Jul-1916 00:00:00,-6270.0155394074,6246.45476911789,-6396.28578054586,5773.0037936169,-6107.66808651511,6855.17745190487,23.5897882476753,-175.81837383893,-6205.59194698983,6488.01138927146,-6370.51634357882,5869.62644167833,-6014.8981134338,7203.01898492601,23.5919694159178,-175.817742959098,4420,3930,5050,4670,4030,5410
61,75,80,84,88,91,97,101,105,112,128,139,144,,29-Sep-2017 23:12:22,29-Sep-2017 23:24:38,29-Sep-2017 23:18:41,-7437.89423457115,5554.02473410885,-7443.04812196456,5534.70020449656,-7430.16340348104,5583.01152852728,23.5835358568213,-175.829810505029,-7442.40261198389,5575.92620741784,-7475.90288004103,5450.31676493798,-7414.05623132015,5682.2111202854,23.5837336191431,-175.829854654141,3450,3430,3480,3470,3340,3580
76,89,111,116,125,133,140,,,,,,,,29-Sep-2017 23:14:04,29-Sep-2017 23:23:03,29-Sep-2017 23:20:08,-8060.81304070689,4964.64186961207,-8081.42859028052,4887.34375116293,-8040.19749113327,5041.93998806122,23.5782139443606,-175.835910551569,-8084.65104395789,4836.45548343552,-8107.84353722822,4749.49510018023,-8058.88160699086,4933.07813149694,23.5770564680121,-175.836143989583,2720,2640,2800,2590,2500,2690
108,118,124,137,138,142,149,,,,,,,,29-Sep-2017 23:18:45,30-Jun-4035 22:45:41,29-Sep-2017 23:22:51,-8804.8227194578,4697.34129362136,-8815.13049424461,4658.69223439679,-8794.51494467099,4735.99035284593,23.5758003175795,-175.843196402664,-8876.97204673951,4582.03962592831,-8887.27982152633,4543.39056670374,-8866.6642719527,4620.68868515288,23.5747591855429,-175.84390293817,2270,2230,2310,2140,2100,2180
113,121,122,127,143,155,,,,,,,,,29-Sep-2017 23:19:58,30-Jun-4035 22:42:40,29-Sep-2017 23:23:20,-9201.64147139422,4140.8029947491,-9206.79535878763,4121.47846513682,-9196.48758400082,4160.12752436139,23.5707749795759,-175.847082322997,-9255.75219279901,4093.13718069906,-9268.63691128253,4044.82585666834,-9248.0213617089,4122.12397511749,23.5703445746472,-175.84761221215,1630,1610,1650,1570,1520,1600
29,145,,,,,,,,,,,,,29-Sep-2017 23:22:37,30-Jun-4035 22:47:13,29-Sep-2017 23:24:01,-9728.58823567518,3329.18294348507,-9733.74212306859,3309.85841387279,-9726.01129197848,3338.84520829121,23.563446346315,-175.852242545732,-9751.78072894551,3242.22256022979,-9754.35767264221,3232.56029542365,-9749.20378524881,3251.88482503593,23.5626611257477,-175.852469662472,710,690,720,620,610,630
115,,,,,,,,,,,,,,29-Sep-2017 23:24:23,29-Sep-2017 23:27:01,29-Sep-2017 23:25:57,-10245.1966478135,3487.66243271932,-10247.7735915102,3478.00016791318,-10245.1966478135,3487.66243271932,23.5648773583435,-175.85730152826,-10262.5897437097,3461.2525819976,-10262.5897437097,3461.2525819976,-10260.012800013,3470.91484680374,23.5646388870168,-175.857471853338,730,720,730,700,700,710
