TrackID_1,TrackID_2,TrackID_3,TrackID_4,TrackID_5,TrackID_6,TrackID_7,TrackID_8,TrackID_9,TrackID_10,Loc_start_time,Loc_end_time,Loc_beam_time,Loc_m_1,Loc_m_2,Loc_m_min_1,Loc_m_min_2,Loc_m_max_1,Loc_m_max_2,Loc_LatLong_1,Loc_LatLong_2,Loc_m_dilated_1,Loc_m_dilated_2,Loc_m_dilated_min_1,Loc_m_dilated_min_2,Loc_m_dilated_max_1,Loc_m_dilated_max_2,Loc_LatLong_dilated_1,Loc_LatLong_dilated_2,distance_m,distance_m_minmax_1,distance_m_minmax_2,distance_m_dilated,distance_m_dilated_minmax_1,distance_m_dilated_minmax_2
87,97,104,,,,,,,,05-Nov-2017 19:06:31,05-Nov-2017 19:12:05,05-Nov-2017 19:08:58,11210.623338814,-1450.38258516463,11202.7833158507,-1479.3400373995,11218.4633617773,-1421.42513292975,22.6959438857569,-165.898988282478,11218.4633617773,-1421.42513292975,11208.0099978262,-1460.03506924292,11231.5300667161,-1373.1627125383,22.696205388612,-165.898911975123,1530,1500,1560,1560,1520,1610
92,100,,,,,,,,,05-Nov-2017 19:07:40,05-Nov-2017 19:11:24,05-Nov-2017 19:09:19,11270.7301815326,-1228.37545136394,11260.2768175816,-1266.9853876771,11281.1835454837,-1189.76551505078,22.6979487409795,-165.898403259422,11285.6093475864,-1211.68382419513,11275.1559836354,-1250.29376050829,11296.0627115375,-1173.07388788196,22.6980994762074,-165.898258439717,1760,1720,1800,1780,1740,1820
91,94,101,103,106,,,,,,05-Nov-2017 19:07:22,12-Sep-4035 14:15:56,05-Nov-2017 19:10:17,11623.0668131927,-1572.40873171691,11620.4534722049,-1582.0612157952,11628.2934951682,-1553.10376356033,22.6948419177569,-165.894973948486,11579.4408962734,-1695.27768374692,11574.2142142979,-1714.58265190351,11582.0542372612,-1685.62519966863,22.6937323387269,-165.895398561826,1520,1510,1540,1390,1370,1400
93,,,,,,,,,,05-Nov-2017 19:07:47,05-Nov-2017 19:09:01,14-Jul-1916 00:00:00,11772.1960252599,-638.941818479915,11699.0224776024,-909.211372672054,11868.8896418073,-281.799907583159,22.7032716739729,-165.893522466035,11757.3168592061,-655.633445648728,11665.8499246342,-993.470388388902,11869.6905216801,-240.576630282229,22.7031209387451,-165.893667285739,2460,2180,2830,2440,2090,2870
1,2,5,,,,,,,,05-Nov-2017 18:32:23,05-Nov-2017 18:37:25,14-Jul-1916 00:00:00,3833.93571144039,5053.41474010263,3664.06854723551,4426.00327501373,4048.22967243731,5844.91843452246,22.7546770075771,-165.97078597047,3541.1995952055,4469.629191933,3366.10574902509,3822.91275868752,3860.02719571312,5647.23224948446,22.7494050801165,-165.97363518646,5880,5230,6700,5240,4570,6460
3,4,7,10,14,15,18,23,25,36,05-Nov-2017 18:36:34,05-Nov-2017 18:49:14,05-Nov-2017 18:43:23,3912.33486772871,2970.54326728121,3901.88150377764,2931.93333096804,3925.40157266754,3018.80568767266,22.7358674509703,-165.970022907366,3906.51800724982,2795.9976739992,3888.22462033545,2728.43028545116,3930.03807613973,2882.87003070381,22.7342912014224,-165.970079523174,3890,3850,3940,3720,3650,3810
6,8,9,12,13,16,20,22,28,39,05-Nov-2017 18:40:03,05-Nov-2017 18:50:27,05-Nov-2017 18:45:37,4361.6596685155,1875.04921280263,4353.8196455522,1846.09176056776,4369.49969147881,1904.00666503751,22.7259744942041,-165.965649605488,4388.80465963539,1898.77998306197,4360.05790876995,1792.60265820077,4412.32472852529,1985.65233976659,22.7261887970414,-165.965385401864,2950,2920,2980,2980,2870,3070
17,21,24,37,41,,,,,,05-Nov-2017 18:44:57,05-Nov-2017 18:50:35,05-Nov-2017 18:49:19,5589.37953317836,1014.29144553461,5578.92616922729,975.681509221448,5602.44623811719,1062.55386592606,22.7182013444157,-165.953700143583,5513.38194316367,848.386755088681,5502.9285792126,809.776818775518,5526.44864810251,896.649175480134,22.7167031273115,-165.954439832117,2440,2400,2490,2260,2220,2310
11,42,,,,,,,,,05-Nov-2017 18:47:26,05-Nov-2017 18:50:42,05-Nov-2017 18:50:21,5444.88682458332,-55.1111246712351,5439.66014260778,-74.4160928278166,5452.72684754662,-26.1536724363632,22.7085440091253,-165.955106498703,5435.23434050503,-52.4977836834676,5422.16763556619,-100.760204074921,5448.30104544386,-4.2353632920142,22.7085676091342,-165.955200446837,1370,1350,1400,1370,1320,1420
34,48,55,,,,,,,,05-Nov-2017 18:48:56,05-Nov-2017 18:52:36,05-Nov-2017 18:49:53,5435.40311626951,330.777537090961,5422.33641133068,282.515116699508,5445.85648022058,369.387473404124,22.7120288111028,-165.955198804134,5451.08316219612,388.692441560705,5435.40311626951,330.777537090961,5464.14986713495,436.954861952159,22.712551816813,-165.955046189423,1740,1690,1780,1800,1740,1850
