TrackID_1,TrackID_2,TrackID_3,TrackID_4,TrackID_5,TrackID_6,TrackID_7,Loc_start_time,Loc_end_time,Loc_beam_time,Loc_m_1,Loc_m_2,Loc_m_min_1,Loc_m_min_2,Loc_m_max_1,Loc_m_max_2,Loc_LatLong_1,Loc_LatLong_2,Loc_m_dilated_1,Loc_m_dilated_2,Loc_m_dilated_min_1,Loc_m_dilated_min_2,Loc_m_dilated_max_1,Loc_m_dilated_max_2,Loc_LatLong_dilated_1,Loc_LatLong_dilated_2,distance_m,distance_m_minmax_1,distance_m_minmax_2,distance_m_dilated,distance_m_dilated_minmax_1,distance_m_dilated_minmax_2
2,8,10,15,,,,28-Jul-2017 03:11:56,28-Jul-2017 03:23:17,28-Jul-2017 03:20:19,2946.52252430958,3025.46378477716,2928.90194728033,2957.71782353108,2966.66032662872,3102.88774048698,21.2411663283339,-163.299479456872,2951.72876000419,2807.12254929955,2936.62540826483,2749.05458251719,2969.34933703344,2874.86851054563,21.2391942156177,-163.299429311697,3670,3600,3750,3460,3400,3530
5,7,12,17,30,,,28-Jul-2017 03:16:19,28-Jul-2017 03:24:29,28-Jul-2017 03:21:09,3205.60738330375,1955.80260672125,3195.53848214418,1917.09062886634,3215.67628446332,1994.51458457615,21.2315048807074,-163.296984015581,3241.41122917292,1894.82650795315,3228.82510272345,1846.43653563451,3253.99735562238,1943.21648027178,21.2309541293136,-163.296639161791,2700,2660,2740,2650,2600,2700
6,9,14,22,,,,28-Jul-2017 03:16:46,28-Jul-2017 03:24:44,28-Jul-2017 03:21:49,3341.83378272141,1486.3962069974,3331.76488156184,1447.6842291425,3351.90268388098,1525.10818485231,21.2272650845556,-163.29567191659,3363.70699693876,1491.03975088134,3353.63809577918,1452.32777302644,3373.77589809833,1529.75172873625,21.2273070262068,-163.295461239199,2280,2240,2320,2290,2250,2330
13,36,,,,,,28-Jul-2017 03:21:13,28-Jul-2017 03:24:14,14-Jul-1916 00:00:00,4108.47432748366,739.360548459847,4095.8882010342,690.970576141214,4121.06045393313,787.75052077848,21.2205176714138,-163.288287824449,4076.53221210674,696.005026721,4056.3944097876,618.581071011187,4096.67001442589,773.428982430813,21.2201260734843,-163.288595483005,1750,1700,1800,1700,1620,1780
19,28,36,37,38,25,26,28-Jul-2017 03:24:22,08-Jan-14123 23:48:56,14-Jul-1916 00:00:00,3547.57133099958,-860.979361851452,3517.36462752086,-977.115295416172,3547.57133099958,-860.979361851452,21.2060630005842,-163.293690303403,3547.57133099958,-860.979361851452,3517.36462752086,-977.115295416172,3547.57133099958,-860.979361851452,21.2060630005842,-163.293690303403,60,-60,60,60,-60,60
16,18,21,27,,,,28-Jul-2017 03:23:00,23-Feb-4035 06:47:13,28-Jul-2017 03:23:35,3584.25166319284,193.750249579929,3574.18276203327,155.038271725022,3594.32056435241,232.462227434835,21.2155895825618,-163.293337007514,3564.50476756954,157.555497014915,3554.43586640997,118.843519160009,3574.57366872911,196.267474869821,21.2152626624926,-163.293527204729,1090,1050,1130,1050,1010,1090
42,44,45,46,53,59,,28-Jul-2017 03:27:26,23-Feb-4035 06:56:47,28-Jul-2017 03:30:10,5701.52901997251,944.973648089395,5686.42566823315,886.905681307035,5719.14959700176,1012.71960933548,21.2223748204196,-163.272943915606,5693.97734410283,915.939664698215,5678.87399236347,857.871697915855,5711.59792113208,983.685625944301,21.2221125782109,-163.27301665148,2350,2290,2420,2320,2260,2390
49,52,57,60,,,,28-Jul-2017 03:28:54,28-Jul-2017 03:34:03,28-Jul-2017 03:28:58,5845.27731954363,2292.16941202662,5787.38113787609,2069.57553936091,5913.24240237074,2553.47526254724,21.2345430299264,-163.271559367533,5890.97828145755,2507.6025155185,5782.73759399215,2091.44875357826,5984.11561718359,2865.68831067639,21.2364888756663,-163.271119187169,3690,3460,3960,3910,3480,4280
43,47,,,,,,28-Jul-2017 03:27:30,28-Jul-2017 03:29:33,14-Jul-1916 00:00:00,5442.64572180938,-10.6305785296491,5425.02514478013,-78.3765397757354,5462.78352412852,66.793377180164,21.2137435637409,-163.275437415513,5489.69118892565,90.7929099915582,5467.03616131662,3.6909598180184,5514.86344182458,187.572854628824,21.2146596460878,-163.274984285208,1360,1290,1440,1470,1380,1570
48,51,56,62,,,,28-Jul-2017 03:28:49,28-Jul-2017 03:37:41,28-Jul-2017 03:30:43,7079.4170670167,1991.83778913767,7054.24481411777,1895.0578445004,7102.07209462573,2078.93973931121,21.231830359499,-163.259672438682,6877.69547359562,1692.99268084968,6855.04044598658,1605.89073067614,6900.35050120465,1780.09463102322,21.2291311156437,-163.261615371185,3710,3610,3800,3370,3280,3460
