TrackID_1,TrackID_2,TrackID_3,TrackID_4,TrackID_5,TrackID_6,TrackID_7,TrackID_8,TrackID_9,Loc_start_time,Loc_end_time,Loc_beam_time,Loc_m_1,Loc_m_2,Loc_m_min_1,Loc_m_min_2,Loc_m_max_1,Loc_m_max_2,Loc_LatLong_1,Loc_LatLong_2,Loc_m_dilated_1,Loc_m_dilated_2,Loc_m_dilated_min_1,Loc_m_dilated_min_2,Loc_m_dilated_max_1,Loc_m_dilated_max_2,Loc_LatLong_dilated_1,Loc_LatLong_dilated_2,distance_m,distance_m_minmax_1,distance_m_minmax_2,distance_m_dilated,distance_m_dilated_minmax_1,distance_m_dilated_minmax_2
3,8,13,27,47,73,,,,13-Sep-2017 18:48:18,13-Sep-2017 19:01:09,13-Sep-2017 18:56:57,-16395.2268305956,11204.598171052,-16418.5654185512,11117.6768830252,-16371.88824264,11291.5194590788,22.1723589440611,-160.357012939332,-16310.6327559831,11326.8431813405,-16365.0894612129,11124.0268426113,-16263.9555800718,11500.6857573941,22.1734629765082,-160.356193326629,6570,6480,6660,6710,6500,6890
6,10,15,21,52,,,,,13-Sep-2017 18:49:05,13-Sep-2017 18:58:45,13-Sep-2017 18:58:17,-17077.2488845846,9782.82254955868,-17097.9942961007,9705.55918242375,-17053.9102966289,9869.74383758547,22.1595184492632,-160.363620895528,-17061.6898259475,9840.77007490987,-17126.5192369354,9599.32205261322,-17004.6399442781,10053.2443345309,22.1600417912635,-160.363470147356,5020,4940,5110,5080,4830,5300
20,25,30,42,,,,,,13-Sep-2017 18:54:06,13-Sep-2017 18:57:19,13-Sep-2017 18:57:19,-16830.1823379644,10741.5498942929,-16939.0957484241,10335.9172168346,-16703.1166924282,11214.7880179944,22.1681770120466,-160.361227124083,-16793.163082945,10917.985646786,-16933.1946106788,10396.4579186253,-16637.5724965741,11497.460900298,22.1697704578251,-160.360868452961,6010,5590,6500,6190,5650,6790
2,4,7,14,18,,,,,13-Sep-2017 18:47:42,13-Sep-2017 18:55:47,14-Jul-1916 00:00:00,-16847.7195427809,11408.9271837232,-16881.4308364946,11283.3742121289,-16814.0082490672,11534.4801553174,22.174204302488,-160.361397038063,-16825.0126354819,11879.1233091441,-16863.9102820746,11734.2544957662,-16783.5218124496,12033.650043414,22.1784507889315,-160.361177036015,6650,6520,6780,7110,6960,7270
11,23,44,63,,,,,,13-Sep-2017 18:51:03,13-Sep-2017 18:59:44,13-Sep-2017 18:56:34,-15887.8285913395,11089.0688379809,-15955.2511787669,10837.9628947924,-15815.2196510331,11359.4906229532,22.1713155629693,-160.352096873467,-15882.6422384605,11108.3846797647,-15996.7420017992,10683.4361605226,-15758.1697693638,11571.9648825742,22.1714900103027,-160.352046624076,6590,6330,6870,6610,6170,7090
12,17,24,58,,,,,,13-Sep-2017 18:53:05,29-May-4035 13:46:57,13-Sep-2017 18:58:34,-17439.2130836192,7933.42212817416,-17457.3653186958,7865.81668193109,-17421.0608485426,8001.02757441722,22.1428159428121,-160.367127884133,-17498.4073198871,7597.27328853216,-17513.9663785242,7539.32576318097,-17482.84826125,7655.22081388336,22.1397800788111,-160.367701403593,3140,3070,3210,2800,2740,2860
19,31,48,49,,,,,,13-Sep-2017 18:53:48,10-Feb-6053 08:50:45,13-Sep-2017 18:58:52,-17711.6961189804,8306.85618586082,-17719.4756482989,8277.88242318522,-17703.9165896619,8335.82994853642,22.1461885411339,-160.369767910143,-17757.2096881845,8060.22181068513,-17767.5823939426,8021.59012711767,-17746.8369824265,8098.8534942526,22.1439611099109,-160.370208880739,3430,3400,3460,3180,3140,3220
29,43,,,,,,,,13-Sep-2017 18:54:59,13-Sep-2017 18:56:30,14-Jul-1916 00:00:00,-16675.1236776441,11010.5421095328,-17007.050261902,9774.32823537394,-16057.9476850395,13309.1272817969,22.1706063638292,-160.359724796073,-16805.8463517209,9906.67998839528,-17065.1639956724,8940.88789920868,-16380.5654156404,11490.5790146613,22.1606370440506,-160.360991338261,6310,5030,8690,5210,4210,6850
37,39,66,102,117,136,,,,13-Sep-2017 18:55:40,13-Sep-2017 19:06:55,13-Sep-2017 19:02:44,-18439.8967236231,9258.23617272098,-18447.6762529416,9229.26241004538,-18432.1171943045,9287.20993539658,22.1547807476589,-160.376823279789,-18400.5502551894,9289.0883269699,-18408.329784508,9260.1145642943,-18390.1775494314,9327.72001053736,22.1550593829936,-160.376442060826,4160,4130,4190,4200,4170,4240
41,57,65,71,87,131,,,,13-Sep-2017 18:56:20,13-Sep-2017 19:05:44,13-Sep-2017 19:05:40,-18350.9807867932,13407.102759655,-18387.2852569464,13271.8918671689,-18314.67631664,13542.3136521411,22.1922504433137,-160.375961793547,-18279.9842750348,13864.3330028784,-18334.4409802647,13661.5166641492,-18222.9343933655,14076.8072624995,22.1963798308702,-160.37527392453,8190,8050,8330,8650,8440,8870
