TrackID_1,TrackID_2,TrackID_3,TrackID_4,TrackID_5,TrackID_6,Loc_start_time,Loc_end_time,Loc_beam_time,Loc_m_1,Loc_m_2,Loc_m_min_1,Loc_m_min_2,Loc_m_max_1,Loc_m_max_2,Loc_LatLong_1,Loc_LatLong_2,Loc_m_dilated_1,Loc_m_dilated_2,Loc_m_dilated_min_1,Loc_m_dilated_min_2,Loc_m_dilated_max_1,Loc_m_dilated_max_2,Loc_LatLong_dilated_1,Loc_LatLong_dilated_2,distance_m,distance_m_minmax_1,distance_m_minmax_2,distance_m_dilated,distance_m_dilated_minmax_1,distance_m_dilated_minmax_2
18,33,45,50,,,08-Oct-2017 20:20:01,08-Oct-2017 20:29:16,14-Jul-1916 00:00:00,11885.8326701694,4892.03998603398,11637.2093880185,4435.32731533992,11943.2072737427,4997.43521773262,21.8152589840637,-158.638893702714,11711.9414050606,4781.75930813045,11382.0374345142,4175.73672586332,11855.3779139938,5045.24738737702,21.8142629684785,-158.640574968885,9980,9460,10100,9800,9110,10100
9,17,28,36,,,08-Oct-2017 20:17:53,08-Oct-2017 20:23:01,14-Jul-1916 00:00:00,5649.28618738395,2366.49292290952,5558.44306505957,2199.61713938669,5744.91052667276,2542.15164240724,21.7924491475286,-158.699191697667,5583.90814578977,2288.22599708954,5469.15893864319,2077.43553369228,5708.21978686523,2516.58233243657,21.7917422686863,-158.699823804688,4780,4590,4980,4680,4440,4940
70,78,81,,,,08-Oct-2017 20:49:14,08-Oct-2017 20:57:26,14-Jul-1916 00:00:00,15500.3595649392,-1812.07780283171,15328.2357542194,-2128.2634979276,15691.6082435169,-1460.76036383628,21.7547097933125,-158.603946681143,15611.1070530754,-1587.72318649512,15262.0782146712,-2228.87751266179,15907.5425048707,-1043.1811560522,21.7567360838533,-158.602875920026,5820,5460,6220,6070,5340,6690
83,84,91,94,,,08-Oct-2017 20:58:35,08-Oct-2017 21:01:47,14-Jul-1916 00:00:00,15706.3233608003,-4759.24235792436,15639.3863232982,-4882.20346157277,15773.2603983025,-4636.28125427596,21.7280920585946,-158.60195532199,15549.2184696873,-4901.432558671,15453.5941303985,-5077.09127816871,15663.9676768339,-4690.64209527374,21.7268078476277,-158.603474289251,3330,3190,3470,3130,2930,3370
85,96,101,,,,08-Oct-2017 20:59:06,08-Oct-2017 21:02:44,14-Jul-1916 00:00:00,19286.58002537,-1926.24708510719,18956.6760548236,-2532.26966737431,19697.7646843119,-1170.914591267,21.7536786572453,-158.567339641839,18079.1120620183,-2931.24515350296,17849.6136477251,-3352.82608029749,18356.4226459558,-2421.83486695958,21.7446018746373,-158.57901403525,7530,6840,8390,6070,5590,6650
82,92,95,102,,,08-Oct-2017 20:58:12,08-Oct-2017 21:03:14,14-Jul-1916 00:00:00,17476.3117008076,-2637.25242481009,17280.2818052655,-2997.35279978041,17705.8101151008,-2215.67149801557,21.7472571116677,-158.584842205253,17289.740009954,-2854.48733032025,17084.147680483,-3232.15357724035,17543.1445090693,-2388.9917236513,21.7452951238051,-158.586646072009,6040,5630,6520,5760,5330,6290
98,105,107,,,,08-Oct-2017 21:02:14,08-Oct-2017 21:03:41,14-Jul-1916 00:00:00,16021.3126409804,-4452.51486751689,15734.4396231139,-4979.49102601004,16465.9658186734,-3635.7018218525,21.7308623114317,-158.598909850898,16017.3109219699,-4438.95071457756,15620.4699139213,-5167.93440049309,16576.7133068095,-3411.34720551591,21.730984818003,-158.598948541483,3750,3150,4680,3760,2930,4930
93,97,100,113,,,08-Oct-2017 21:00:41,08-Oct-2017 21:04:26,14-Jul-1916 00:00:00,20559.8429472778,-1344.18048093299,20029.1278642249,-2319.08637414532,21253.1194071217,-70.6547645745407,21.7589356743438,-158.55502911045,20580.5268110435,-1264.35455920502,19954.1873887018,-2414.91917191507,21235.5535351719,-61.09233064566,21.7596566334787,-158.554829128695,8650,7540,10100,8730,7420,10100
104,,,,,,08-Oct-2017 21:02:54,08-Oct-2017 21:03:49,14-Jul-1916 00:00:00,15842.4860363959,-5345.72315537186,15612.9876221028,-5767.30408216638,16196.2960917646,-4695.7858932303,21.7227951740835,-158.600638834355,15861.6109042537,-5310.59141147231,15612.9876221028,-5767.30408216638,16234.5458274801,-4625.52240543122,21.7231124714117,-158.600453925738,2880,2400,3620,2920,2400,3700
103,117,119,125,128,,08-Oct-2017 21:03:26,08-Oct-2017 21:14:12,08-Oct-2017 21:14:00,17296.5015824873,-5226.39674704275,17263.0330637362,-5287.87729886695,17334.7513182028,-5156.13325924367,21.7238728874661,-158.586580697805,17556.3505237155,-4832.72362408088,17503.7571371067,-4929.33591980462,17608.9439103244,-4736.11132835714,21.7274284021164,-158.584068350596,3680,3610,3760,4150,4040,4260
