TrackID_1,TrackID_2,TrackID_3,TrackID_4,TrackID_5,TrackID_6,Loc_start_time,Loc_end_time,Loc_beam_time,Loc_m_1,Loc_m_2,Loc_m_min_1,Loc_m_min_2,Loc_m_max_1,Loc_m_max_2,Loc_LatLong_1,Loc_LatLong_2,Loc_m_dilated_1,Loc_m_dilated_2,Loc_m_dilated_min_1,Loc_m_dilated_min_2,Loc_m_dilated_max_1,Loc_m_dilated_max_2,Loc_LatLong_dilated_1,Loc_LatLong_dilated_2,distance_m,distance_m_minmax_1,distance_m_minmax_2,distance_m_dilated,distance_m_dilated_minmax_1,distance_m_dilated_minmax_2
3,4,13,28,,,02-Nov-2017 23:30:55,02-Nov-2017 23:45:02,14-Jul-1916 00:00:00,10665.6694304887,7343.3005000931,10588.8216217357,7032.66499940159,10749.7217213122,7683.05807897444,23.9520152268059,-173.830442663524,10501.1512372587,7177.97124044327,10342.6526317057,6537.28552026702,10647.6423726941,7770.12016363647,23.9505224325448,-173.832058069926,9690,9370,10040,9490,8830,10100
8,42,,,,,02-Nov-2017 23:37:32,02-Nov-2017 23:50:10,02-Nov-2017 23:49:43,10813.1364261188,5565.87160272482,10688.2587368952,5061.08891410111,10950.02158546,6119.19108833158,23.9359664302223,-173.828994683065,10983.6425017895,6255.09411988412,10724.2811472482,5206.69930505026,11154.1485774601,6944.31663704341,23.9421895719722,-173.827320481562,8000,7480,8570,8710,7630,9420
14,22,54,,,,02-Nov-2017 23:40:14,02-Nov-2017 23:51:27,02-Nov-2017 23:51:27,11374.7059320572,4046.54948743785,11307.4640993984,3774.74342433278,11449.1522467867,4347.47762873276,23.9222481365626,-173.823480624359,11417.9328244808,4221.28195657683,11297.8581233043,3735.91398674634,11530.8030435867,4677.52784821749,23.9238258344711,-173.823056178908,6660,6380,6970,6840,6340,7310
23,32,38,,,,02-Nov-2017 23:43:32,02-Nov-2017 23:59:55,02-Nov-2017 23:55:21,12383.3588595823,4167.87249348043,12364.146907394,4090.21361830755,12402.5708117705,4245.53136865331,23.9233435886776,-173.813576647387,12330.6273743671,3913.07965514504,12306.6124341318,3816.00606117894,12354.6423146024,4010.15324911114,23.9210430080809,-173.814094418565,7020,6940,7100,6760,6660,6860
27,29,35,40,67,70,02-Nov-2017 23:44:38,02-Nov-2017 23:58:24,02-Nov-2017 23:54:34,12058.1433333808,3269.6882910378,12031.7268991219,3162.90733767509,12084.5597676396,3376.46924440051,23.9152336858956,-173.816769943113,12159.411615579,3512.47365925553,12101.7757590143,3279.4970337369,12207.4414960496,3706.62084718773,23.9174258484028,-173.815775588457,6070,5960,6180,6330,6090,6530
5,6,10,15,,,02-Nov-2017 23:33:02,02-Nov-2017 23:40:58,14-Jul-1916 00:00:00,10849.1968093019,7668.75049813575,10666.6832635136,6930.99118399341,10861.2042794195,7717.2872951188,23.9549537864436,-173.828640605666,10793.3541469457,7692.86682167354,10596.4316370162,6896.86335115154,10802.9601230398,7731.69625925998,23.9551715380349,-173.829188925536,10050,9290,10100,10060,9240,10100
37,39,43,47,63,,02-Nov-2017 23:48:14,02-Nov-2017 23:56:43,02-Nov-2017 23:56:37,12450.7337807798,3399.19790693966,12373.8859720268,3088.56240624814,12537.1875656269,3748.66284521761,23.9164030567122,-173.812915092108,12419.3115918689,3355.46409800367,12313.6458548336,2928.34028455284,12534.5833049984,3821.41734904094,23.9160081745291,-173.813223627014,6290,5970,6650,6240,5800,6720
51,57,64,72,,,02-Nov-2017 23:50:49,02-Nov-2017 23:59:12,02-Nov-2017 23:57:03,12557.81888405,3249.08867785091,12502.5845215088,3025.81941172889,12620.2577286617,3501.48002216277,23.9150476874558,-173.811863622006,12572.2278481911,3307.33283423057,12476.1680872499,2919.03845836618,12670.6891031559,3705.33456949157,23.9155735867586,-173.811722140189,6170,5940,6430,6230,5830,6640
33,41,49,56,,,02-Nov-2017 23:47:18,03-Nov-2017 00:10:20,03-Nov-2017 00:00:32,13596.8104893947,2868.43602250326,13592.0075013476,2849.02130371004,13604.0149714653,2897.55810069309,23.9116106908796,-173.801661749138,13640.5442983307,2837.01383359239,13628.536828213,2788.47703660934,13654.9532624718,2895.25798997205,23.9113269730225,-173.801232326267,6050,6030,6080,6030,5980,6090
53,79,,,,,02-Nov-2017 23:51:14,03-Nov-2017 00:01:29,03-Nov-2017 00:01:29,14290.9373779035,2676.11373401586,14252.513473527,2520.7959836701,14331.7627763035,2841.13884375823,23.9098741706222,-173.79484610767,14307.7478360682,2744.06524979213,14235.7030153623,2452.84446789384,14379.7926567741,3035.28603169042,23.9104877198088,-173.79468104555,6030,5870,6200,6100,5800,6400
