TrackID_1,TrackID_2,TrackID_3,TrackID_4,TrackID_5,TrackID_6,TrackID_7,TrackID_8,Loc_start_time,Loc_end_time,Loc_beam_time,Loc_m_1,Loc_m_2,Loc_m_min_1,Loc_m_min_2,Loc_m_max_1,Loc_m_max_2,Loc_LatLong_1,Loc_LatLong_2,Loc_m_dilated_1,Loc_m_dilated_2,Loc_m_dilated_min_1,Loc_m_dilated_min_2,Loc_m_dilated_max_1,Loc_m_dilated_max_2,Loc_LatLong_dilated_1,Loc_LatLong_dilated_2,distance_m,distance_m_minmax_1,distance_m_minmax_2,distance_m_dilated,distance_m_dilated_minmax_1,distance_m_dilated_minmax_2
1,,,,,,,,03-Nov-2017 01:28:42,03-Nov-2017 01:31:07,03-Nov-2017 01:29:49,696.033928310168,283.095969928477,696.033928310168,283.095969928477,701.735653444864,291.311219802241,23.8699979982702,-173.774829584377,693.5204035711,297.012944936937,676.415228167012,272.367195315646,704.923853840493,313.443444684464,23.870123658001,-173.774854261247,630,630,640,640,610,660
18,31,35,36,38,,,,03-Nov-2017 01:29:58,03-Nov-2017 01:35:27,03-Nov-2017 01:30:03,1941.52353241299,2060.1034674005,1878.80455593134,1969.7357187891,2009.94423402935,2158.68646588567,23.8860430284332,-173.762601820984,1902.77562989607,1916.58134349433,1817.24975287562,1793.35259538787,1994.0032320512,2048.02534147455,23.88474713249,-173.762982233781,2800,2690,2920,2660,2510,2820
16,25,30,40,42,,,,03-Nov-2017 01:29:33,03-Nov-2017 01:36:06,03-Nov-2017 01:32:35,2415.49450035222,1743.32038459659,2381.28414954404,1694.028885354,2449.7048511604,1792.61188383917,23.8831827174183,-173.757948546615,2436.27737392132,1668.03378441959,2402.06702311314,1618.74228517701,2470.4877247295,1717.32528366217,23.8825029365099,-173.757744507931,2810,2750,2870,2760,2700,2820
17,32,39,45,50,,,,03-Nov-2017 01:29:36,03-Nov-2017 01:36:46,03-Nov-2017 01:33:31,2388.94386575628,1213.98583650573,2360.4352400828,1172.90958713691,2417.45249142976,1255.06208587455,23.8784032278536,-173.758209211078,2347.68243850028,1084.38068760802,2307.77036255741,1026.87393849167,2393.29623957785,1150.10268659812,23.8772329916412,-173.758614300745,2360,2310,2410,2230,2160,2310
19,29,,,,,,,03-Nov-2017 01:30:12,03-Nov-2017 01:33:25,14-Jul-1916 00:00:00,6005.28023488326,2794.05269120823,5355.2835695279,1857.51420559917,7168.43216236127,4469.96366545602,23.8926700333563,-173.72270533748,5984.49736131416,2869.33929138522,5294.58862001593,1875.29405665982,7159.05273906157,4561.68076538054,23.8933498142646,-173.722909376165,5720,4580,7760,5770,4560,7830
21,46,55,,,,,,03-Nov-2017 01:33:09,03-Nov-2017 01:38:29,03-Nov-2017 01:36:51,3063.6924929387,64.0231022767284,3052.28904266931,47.592602529201,3075.09594320809,80.4536020242555,23.8680199364025,-173.751584774763,2997.78531606141,-48.4768712168958,2986.38186579202,-64.9073709644231,3009.18876633081,-32.0463714693684,23.8670041469528,-173.752231827426,1800,1780,1820,1670,1650,1690
28,,,,,,,,03-Nov-2017 01:35:51,03-Nov-2017 01:38:56,03-Nov-2017 01:37:22,2669.22842721375,-855.105888046036,2663.52670207906,-863.3211379198,2669.22842721375,-855.105888046036,23.8597208986132,-173.755457479318,2652.12325180966,-879.751637667327,2646.42152667497,-887.966887541091,2663.52670207906,-863.3211379198,23.8594983661834,-173.755625411701,820,810,820,790,780,810
24,37,44,49,51,56,61,,03-Nov-2017 01:32:20,03-Nov-2017 01:40:55,03-Nov-2017 01:38:31,3706.5720459541,323.842039836569,3695.1685956847,307.411540089042,3723.67722135818,348.48778945786,23.8703659043829,-173.745273217413,3651.39364368964,191.723366199789,3639.99019342025,175.292866452261,3662.79709395903,208.153865947316,23.8691729729481,-173.745814938874,2380,2360,2410,2240,2220,2260
43,52,59,67,92,115,125,,03-Nov-2017 01:36:05,07-Sep-4035 03:21:18,03-Nov-2017 01:40:13,5403.34485945239,1312.91333118673,5369.13450864422,1263.62183194414,5443.25693539527,1370.42008030307,23.8792964681119,-173.728614919804,5222.23900645524,1122.12373500766,5182.32693051237,1064.61698589131,5262.15108239811,1179.630484124,23.8775737827379,-173.730392951119,4160,4100,4230,3900,3830,3970
48,71,111,,,,,,03-Nov-2017 01:36:30,03-Nov-2017 01:45:26,03-Nov-2017 01:41:14,5003.05992659772,823.861214813095,4980.25302605893,791.00021531804,5031.5685522712,864.937464181913,23.8748806983588,-173.732544771512,5014.46337686711,840.291714560622,4985.95475119363,799.215465191804,5042.97200254059,881.367963929441,23.8750290533119,-173.73243281659,3530,3490,3580,3550,3500,3600
