TrackID_1,TrackID_2,Loc_start_time,Loc_end_time,Loc_beam_time,Loc_m_1,Loc_m_2,Loc_m_min_1,Loc_m_min_2,Loc_m_max_1,Loc_m_max_2,Loc_LatLong_1,Loc_LatLong_2,Loc_m_dilated_1,Loc_m_dilated_2,Loc_m_dilated_min_1,Loc_m_dilated_min_2,Loc_m_dilated_max_1,Loc_m_dilated_max_2,Loc_LatLong_dilated_1,Loc_LatLong_dilated_2,distance_m,distance_m_minmax_1,distance_m_minmax_2,distance_m_dilated,distance_m_dilated_minmax_1,distance_m_dilated_minmax_2
1,,16-Nov-2017 03:43:35,16-Nov-2017 04:03:51,16-Nov-2017 03:46:47,4204.34912293868,4990.90283731431,4173.85755757084,4951.27627499283,4234.84068830653,5030.5293996358,21.1684407365944,-157.869507263109,4501.95677905422,5443.26296268061,4434.87533524496,5356.08452557335,4556.84159671634,5514.59077485929,21.1725266106834,-157.866642521778,6520,6470,6570,7060,6950,7150
2,,16-Nov-2017 03:55:27,16-Nov-2017 03:57:52,16-Nov-2017 03:56:55,2128.59677226597,-969.923630439694,2128.59677226597,-969.923630439694,2134.69508533954,-961.998317975397,21.1146004773665,-157.889488246224,2124.32545858313,-991.872568441857,2124.32545858313,-991.872568441857,2124.32545858313,-991.872568441857,21.1144022269195,-157.889529361459,530,530,540,510,510,510
3,,16-Nov-2017 03:59:53,16-Nov-2017 04:01:02,16-Nov-2017 04:00:32,2523.57787505118,-1702.85604781702,2523.57787505118,-1702.85604781702,2523.57787505118,-1702.85604781702,21.1079803766873,-157.8856861979,2517.47956197761,-1710.78136028132,2517.47956197761,-1710.78136028132,2517.47956197761,-1710.78136028132,21.1079087925068,-157.885744899648,190,190,190,180,180,180
4,,16-Nov-2017 04:00:12,16-Nov-2017 04:01:30,16-Nov-2017 04:00:29,2660.18507696181,-1492.52661006247,2654.08676388824,-1500.45192252676,2666.28339003538,-1484.60129759817,21.1098801453709,-157.88437123073,2635.79182466753,-1524.22785991965,2623.5951985204,-1540.07848484825,2641.8901377411,-1516.30254745536,21.1095938086491,-157.88460603772,440,430,450,400,380,410
5,,16-Nov-2017 04:04:15,16-Nov-2017 04:06:02,16-Nov-2017 04:05:12,3311.24543821006,-2220.62028948242,3305.14712513649,-2228.54560194672,3311.24543821006,-2220.62028948242,21.1033037498569,-157.87810418925,3285.02518652506,-2238.29791380175,3285.02518652506,-2238.29791380175,3285.02518652506,-2238.29791380175,21.1031440794017,-157.878356582752,260,250,260,230,230,230
6,7,16-Nov-2017 04:04:45,16-Nov-2017 04:06:56,16-Nov-2017 04:06:34,5793.82628342714,726.953687021176,5470.61569052799,306.912126413445,6232.90482472411,1297.57618445055,21.1299272638691,-157.854207116011,5473.0600048201,342.884689953473,5241.32410802448,41.722816310194,5771.87734542498,731.225000704016,21.1264582190184,-157.85729477991,4110,3580,4830,3610,3230,4100
8,,16-Nov-2017 04:18:10,16-Nov-2017 04:20:05,16-Nov-2017 04:18:29,3721.11693456881,-1261.60759067565,3696.72368227453,-1293.30884053284,3739.41187378951,-1237.83165328276,21.1119658863217,-157.874158807497,3708.92030842167,-1277.45821560425,3678.42874305382,-1317.08477792573,3733.31356071594,-1245.75696574706,21.1118227179608,-157.874276210992,1270,1230,1300,1250,1200,1290
9,,16-Nov-2017 04:19:03,16-Nov-2017 04:19:55,16-Nov-2017 04:19:30,4491.43116248293,379.006925374069,4113.33575192166,-112.362447412334,5204.93379209049,1306.2684836968,21.1267844876205,-157.866743840304,4491.43116248293,379.006925374069,4101.13912577452,-128.213072340927,5198.83547901693,1298.3431712325,21.1267844876205,-157.866743840304,3040,2420,4210,3040,2400,4200
10,,16-Nov-2017 04:21:30,16-Nov-2017 04:23:10,16-Nov-2017 04:22:34,2414.57522650889,-811.442326467186,2402.37860036175,-827.292951395779,2426.77185265603,-795.591701538592,21.1160319356609,-157.886735446419,2408.47691343532,-819.367638931482,2402.37860036175,-827.292951395779,2426.77185265603,-795.591701538592,21.1159603514805,-157.886794148167,830,810,850,820,810,850
11,,16-Nov-2017 04:22:05,16-Nov-2017 04:24:12,16-Nov-2017 04:22:09,3122.52202200399,-334.146469845505,3085.93214356258,-381.698344631286,3165.21021351897,-278.669282595427,21.1203430379532,-157.879920821851,2944.46125838115,-499.960716694353,2913.9696930133,-539.587279015837,2974.95282374899,-460.334154372869,21.1188453459666,-157.881634816832,1640,1580,1710,1400,1350,1450
12,,16-Nov-2017 04:24:23,16-Nov-2017 04:25:03,16-Nov-2017 04:24:44,2197.03757244513,37.3081486810976,2075.07131097376,-121.198100604839,2373.88865157863,267.142210145705,21.1236981453466,-157.888829441973,2203.1358855187,45.2334611453945,2081.16962404732,-113.272788140542,2379.9869646522,275.067522610002,21.1237697295271,-157.888770740225,1370,1170,1660,1380,1180,1670
