TrackID_1,TrackID_2,TrackID_3,TrackID_4,TrackID_5,TrackID_6,TrackID_7,TrackID_8,TrackID_9,TrackID_10,TrackID_11,TrackID_12,TrackID_13,TrackID_14,TrackID_15,Loc_start_time,Loc_end_time,Loc_beam_time,Loc_m_1,Loc_m_2,Loc_m_min_1,Loc_m_min_2,Loc_m_max_1,Loc_m_max_2,Loc_LatLong_1,Loc_LatLong_2,Loc_m_dilated_1,Loc_m_dilated_2,Loc_m_dilated_min_1,Loc_m_dilated_min_2,Loc_m_dilated_max_1,Loc_m_dilated_max_2,Loc_LatLong_dilated_1,Loc_LatLong_dilated_2,distance_m,distance_m_minmax_1,distance_m_minmax_2,distance_m_dilated,distance_m_dilated_minmax_1,distance_m_dilated_minmax_2
13,14,15,16,24,25,26,28,29,32,34,35,41,42,49,24-Jul-2017 17:13:04,16-Feb-4035 10:51:14,24-Jul-2017 17:17:28,8117.48677872171,6868.71668084951,8080.81311612721,6743.99682488462,8156.98149228502,7003.03037188863,24.671161145422,-173.597760741943,8048.66218220391,6492.86674415382,8006.34641767179,6348.95921804047,8093.79899770483,6646.36810534138,24.6677678397854,-173.598440364062,8880,8750,9020,8500,8350,8660
39,77,78,83,85,,,,,,,,,,,24-Jul-2017 17:25:06,16-Feb-4035 11:09:47,24-Jul-2017 17:25:11,10855.2122925897,4552.30587731824,10801.6123241823,4370.023010908,10911.6333119658,4744.18257880269,24.6502477726399,-173.570726528739,10683.6313256187,4925.88314077695,10601.8208475233,4647.66192362449,10768.2628546829,5213.69819300364,24.6536205597818,-173.572420839005,7430,7240,7630,7740,7450,8040
30,31,90,92,97,99,100,104,111,116,,,,,,24-Jul-2017 17:21:40,16-Feb-4035 11:33:44,24-Jul-2017 17:32:38,12751.3091195713,5506.14906291533,12728.7407118209,5429.39838232155,12776.6985782906,5592.49357858334,24.6588594049487,-173.552003144815,12728.7972563278,4543.39612679241,12709.0498995461,4476.23928127285,12748.5446131094,4610.55297231197,24.6501673322733,-173.55222544267,8880,8800,8970,7950,7880,8020
45,52,56,62,64,69,71,93,94,95,96,109,,,,24-Jul-2017 17:26:04,24-Jul-2017 17:45:41,24-Jul-2017 17:36:25,14036.2667883771,5941.33154116705,13996.7720748138,5807.01785012793,14075.7615019404,6075.64523220617,24.6627883856726,-173.539314575636,13999.5931257826,5816.61168520215,13951.6352593129,5653.51648894036,14053.1930941899,5998.89455161238,24.6616623708755,-173.539676716986,9660,9520,9800,9530,9360,9720
50,54,58,60,66,72,74,84,113,,,,,,,24-Jul-2017 17:27:35,24-Jul-2017 17:46:08,24-Jul-2017 17:33:55,13270.5182046486,5145.00930330241,13214.0971852724,4953.13260181795,13329.7602749935,5346.47983986109,24.655598907973,-173.546876111797,13401.9882269161,5450.32165687653,13328.6409017271,5200.88194494674,13475.3355521051,5699.76136880633,24.6583553754595,-173.545577885005,8680,8480,8890,9010,8750,9270
33,40,47,48,67,103,107,109,117,,,,,,,24-Jul-2017 17:22:54,16-Feb-4035 11:04:39,27-Jun-2765 20:50:37,14013.1952385003,4905.77965758695,13996.2689326875,4848.21664714161,14030.1215443132,4963.34266803229,24.6534390584533,-173.539542400228,13975.9845070754,4353.85995195322,13959.0582012625,4296.29694150789,13992.9108128882,4411.42296239856,24.6484561329152,-173.539909844971,8660,8600,8720,8120,8060,8180
43,51,55,59,63,68,79,80,82,86,98,102,108,110,,24-Jul-2017 17:25:46,16-Feb-4035 11:31:40,24-Jul-2017 17:38:24,14223.1967813737,3812.11638582969,14211.9125774985,3773.7410455328,14237.3020362178,3860.08556120081,24.6435650811495,-173.537468698371,14287.5212670231,3959.97564507964,14267.7739102414,3892.81879956008,14304.4475728359,4017.53865552498,24.6449000066313,-173.536833513488,7670,7630,7720,7830,7760,7890
65,76,81,88,89,101,112,,,,,,,,,24-Jul-2017 17:31:40,16-Feb-4035 11:17:49,24-Jul-2017 17:38:56,14316.4497879637,1647.90662779746,14299.5234821509,1590.34361735212,14333.3760937766,1705.4696382428,24.624025833025,-173.536547853074,14301.2025420505,1808.74045972365,14264.528879456,1684.02060375875,14337.876204645,1933.46031568855,24.6254778975198,-173.536698415026,5620,5560,5680,5770,5640,5900
105,106,114,119,120,126,127,130,134,140,143,147,,,,24-Jul-2017 17:44:34,16-Feb-4035 11:40:54,24-Jul-2017 17:51:55,17663.0417867706,90.5620951003486,17646.1154809578,32.999084655011,17677.1470416147,138.531270471463,24.6099655779473,-173.503501267088,17734.71005206,121.604964658615,17714.9626952783,54.4481191390552,17754.4574088416,188.761810178175,24.6102458439097,-173.502793564597,5070,5010,5120,5120,5050,5190
122,125,131,132,136,137,139,141,142,144,148,151,,,,24-Jul-2017 17:48:50,16-Feb-4035 11:52:19,24-Jul-2017 17:53:51,17838.5857957796,-482.224340581452,17827.3015919044,-520.599680878344,17847.048948686,-453.442835358784,24.6047942602191,-173.501767822978,17779.3437254346,-683.694877140132,17759.596368653,-750.851722659692,17799.0910822163,-616.538031620573,24.6029753132391,-173.502352820543,4570,4530,4600,4360,4290,4430
133,149,152,,,,,,,,,,,,,24-Jul-2017 17:50:51,24-Jul-2017 18:00:20,24-Jul-2017 17:53:03,17646.7204031965,-603.003772311124,17624.151995446,-679.754452904906,17666.4677599782,-535.846926791564,24.6037038209601,-173.503662435825,17734.1729832295,-305.594885010216,17595.941485758,-775.692803647135,17779.3097987305,-152.09352382265,24.6063889331688,-173.50279886799,4400,4320,4470,4710,4220,4870
