TrackID_1,TrackID_2,TrackID_3,TrackID_4,TrackID_5,TrackID_6,TrackID_7,TrackID_8,TrackID_9,TrackID_10,TrackID_11,TrackID_12,Loc_start_time,Loc_end_time,Loc_beam_time,Loc_m_1,Loc_m_2,Loc_m_min_1,Loc_m_min_2,Loc_m_max_1,Loc_m_max_2,Loc_LatLong_1,Loc_LatLong_2,Loc_m_dilated_1,Loc_m_dilated_2,Loc_m_dilated_min_1,Loc_m_dilated_min_2,Loc_m_dilated_max_1,Loc_m_dilated_max_2,Loc_LatLong_dilated_1,Loc_LatLong_dilated_2,distance_m,distance_m_minmax_1,distance_m_minmax_2,distance_m_dilated,distance_m_dilated_minmax_1,distance_m_dilated_minmax_2
1,4,6,8,10,11,15,20,22,31,35,,19-Sep-2017 19:07:00,19-Sep-2017 19:19:39,19-Sep-2017 19:15:42,-111.597923347154,5020.28116150594,-144.455829109297,4970.07799398708,-73.2636999579868,5078.85152361127,25.85303894577,-175.396791119251,-283.338337868706,4666.57898449827,-316.196243630849,4616.37581697941,-250.480432106563,4716.78215201712,25.8498461211638,-175.398503693782,4140,4080,4210,3750,3690,3810
3,5,7,13,14,17,19,21,24,26,37,47,19-Sep-2017 19:08:54,10-Jun-4035 14:32:25,19-Sep-2017 19:16:30,-934.430798527598,4256.11752750973,-945.383433781645,4239.38313833678,-928.954480900574,4264.48472209621,25.8461409377497,-175.404996308635,-978.852212127548,4261.28840884488,-989.804847381596,4244.55401967193,-962.423259246477,4286.3899926043,25.8461876146384,-175.40543927357,3050,3030,3060,3030,3010,3060
2,23,33,56,59,68,69,,,,,,19-Sep-2017 19:08:35,19-Sep-2017 19:23:28,19-Sep-2017 19:18:58,-197.73489517376,6020.82122671299,-236.069118562927,5962.25086460766,-159.400671784593,6079.39158881832,25.862070693798,-175.39765006666,-461.514450146545,5727.35854360259,-494.372355908688,5677.15537608373,-423.180226757378,5785.92890570792,25.8594216434485,-175.40028044431,4930,4860,5000,4540,4480,4610
25,40,60,83,,,,,,,,,19-Sep-2017 19:16:41,19-Sep-2017 19:24:21,19-Sep-2017 19:16:55,-174.280907579454,5216.6757731625,-245.473036730765,5107.90224353832,-103.088778428144,5325.44930278669,25.8548117749732,-175.397416186348,-281.527255744239,5107.59680724644,-407.482561165788,4915.1513317575,-139.142997441619,5325.14386649481,25.8538271330087,-175.398485633892,4270,4140,4400,4120,3890,4380
9,12,16,18,39,,,,,,,,19-Sep-2017 19:11:34,19-Sep-2017 19:21:18,19-Sep-2017 19:18:12,-1669.80607763501,3972.52768481839,-1675.28239526203,3964.16049023191,-1664.32976000798,3980.89487940486,25.843581008276,-175.412329381504,-1746.77996070522,3891.4411796212,-1757.73259595927,3874.70679044825,-1741.3036430782,3899.80837420768,25.8428490506974,-175.413096955707,2410,2400,2420,2300,2280,2310
28,34,54,65,79,,,,,,,,19-Sep-2017 19:17:52,19-Sep-2017 19:24:26,19-Sep-2017 19:20:28,-2304.79655733152,4280.56516743178,-2332.17814546664,4238.7291944994,-2271.93865156937,4330.76833495063,25.8463616234886,-175.41866142936,-2412.34834178818,4207.54042052919,-2445.20624755033,4157.33725301033,-2374.01411839902,4266.11078263452,25.8457024383777,-175.419733922678,2320,2270,2380,2200,2140,2270
36,41,43,67,73,98,112,119,125,,,,19-Sep-2017 19:19:44,10-Jun-4035 14:41:37,19-Sep-2017 19:24:34,-2916.07068439547,5063.08925113924,-2932.49963727654,5037.98766737981,-2905.11804914142,5079.82364031219,25.8534253689554,-175.424756980631,-3031.68422714673,4959.4866028502,-3048.1131800278,4934.38501909078,-3020.73159189268,4976.22099202315,25.8524901610143,-175.425909864822,2640,2610,2660,2490,2460,2510
42,44,,,,,,,,,,,19-Sep-2017 19:20:34,19-Sep-2017 19:23:13,19-Sep-2017 19:21:31,-3350.18388713613,3267.665700217,-3355.66020476315,3259.29850563052,-3344.7075695091,3276.03289480347,25.8372183087092,-175.429085904706,-3333.75493425506,3292.76728397642,-3339.23125188208,3284.40008938995,-3322.80229900101,3309.50167314937,25.8374448975161,-175.428922077185,900,890,910,930,920,950
38,,,,,,,,,,,,19-Sep-2017 19:20:11,19-Sep-2017 19:23:08,19-Sep-2017 19:22:19,-3525.28410086836,3310.55993235755,-3530.76041849538,3302.19273777107,-3525.28410086836,3310.55993235755,25.8376055094921,-175.430831982747,-3558.1420066305,3260.35676483869,-3563.61832425752,3251.98957025222,-3558.1420066305,3260.35676483869,25.8371523318783,-175.431159637788,840,830,840,780,770,780
64,74,97,113,121,123,129,132,138,,,,19-Sep-2017 19:22:34,10-Jun-4035 14:49:26,19-Sep-2017 19:29:34,-3959.71153895604,6463.23701715969,-3970.66417421009,6446.50262798674,-3943.28258607497,6488.33860091912,25.8660643249198,-175.435164040338,-4107.57211488569,6237.32276332485,-4134.95370302081,6195.48679039247,-4080.19052675057,6279.15873625723,25.8640250256577,-175.436638488023,3240,3220,3270,2970,2920,3020
82,106,110,118,130,131,136,148,167,,,,19-Sep-2017 19:24:06,10-Jun-4035 14:52:15,19-Sep-2017 19:33:59,-4426.50642492784,8525.61490067925,-4448.41169543593,8492.14612233334,-4410.07747204677,8550.71648443867,25.8846811480039,-175.439818862184,-4653.62088830339,8160.34921583377,-4670.04984118446,8135.24763207434,-4631.71561779529,8193.81799417967,25.8813839410818,-175.442083619998,4710,4670,4740,4280,4250,4320
55,63,75,107,,,,,,,,,19-Sep-2017 19:21:59,19-Sep-2017 19:26:05,14-Jul-1916 00:00:00,-3498.92649974294,6747.27424647545,-3586.54758177532,6613.39913309184,-3405.82910008353,6889.51655444554,25.8686282928956,-175.430569147953,-3585.3258366078,6469.18225703794,-3667.47060101316,6343.67433824081,-3497.70475457542,6603.05737042155,25.8661179918447,-175.431430711635,3730,3570,3900,3450,3300,3610
58,77,116,120,124,,,,,,,,19-Sep-2017 19:22:23,19-Sep-2017 19:28:36,19-Sep-2017 19:26:06,-3807.53178368646,4869.70593114785,-3829.43705419456,4836.23715280195,-3785.62651317836,4903.17470949375,25.8516797222994,-175.433646522322,-3804.94634301889,4891.91663794783,-3826.85161352698,4858.44785960192,-3777.56475488377,4933.7526108802,25.8518802155274,-175.433620740622,1990,1950,2030,2010,1970,2060
66,103,114,,,,,,,,,,19-Sep-2017 19:24:10,19-Sep-2017 19:27:02,19-Sep-2017 19:25:05,-4150.09630385393,4054.13892009208,-4161.04893910797,4037.40453091913,-4144.6199862269,4062.50611467856,25.8443177025263,-175.437062534065,-4199.38316249714,3978.8341688138,-4204.85948012416,3970.46697422733,-4188.43052724309,3995.56855798675,25.8436379361057,-175.437554016626,1120,1100,1130,1030,1020,1050
100,127,,,,,,,,,,,19-Sep-2017 19:27:03,19-Sep-2017 19:29:03,19-Sep-2017 19:27:52,-4873.31873816658,4300.40972734881,-4884.27137342063,4283.67533817586,-4856.88978528551,4325.51131110824,25.8465407578093,-175.444274420244,-4905.87120763684,4214.15234081648,-4916.82384289089,4197.41795164353,-4889.44225475577,4239.25392457591,25.845762123342,-175.444599029511,930,910,960,840,820,870
51,85,109,115,,,,,,,,,19-Sep-2017 19:21:51,19-Sep-2017 19:26:45,19-Sep-2017 19:25:26,-2900.74306197619,6200.39530668936,-2955.50623824643,6116.72336082461,-2840.50356807893,6292.43444714059,25.8636916861991,-175.424604135444,-3056.66539620043,5943.90315146807,-3111.42857247067,5860.23120560331,-3001.90221993019,6027.57509733282,25.8613763641069,-175.426158974003,3600,3500,3710,3300,3200,3400
87,122,133,139,146,,,,,,,,19-Sep-2017 19:24:09,19-Sep-2017 19:35:18,19-Sep-2017 19:27:43,-3110.27143418359,7688.04374003647,-3148.60565757275,7629.47337793114,-3077.41352842144,7738.24690755533,25.8771204995686,-175.426693526895,-3227.2486724349,7418.01350889356,-3271.05921345109,7351.07595220176,-3167.00917853764,7510.05264934479,25.8746829709853,-175.427860009692,4730,4660,4790,4440,4360,4550
49,76,108,,,,,,,,,,19-Sep-2017 19:21:50,19-Sep-2017 19:25:43,19-Sep-2017 19:23:05,-3316.28925779262,4177.69380643222,-3332.71821067369,4152.59222267279,-3299.86030491155,4202.79539019165,25.845433016785,-175.428747911583,-3291.1876740332,4161.26485355115,-3307.61662691427,4136.16326979172,-3274.75872115212,4186.36643731057,25.845284714715,-175.428497601642,1680,1650,1710,1680,1650,1710
50,70,90,,,,,,,,,,19-Sep-2017 19:21:51,19-Sep-2017 19:25:57,19-Sep-2017 19:21:59,-2705.50558860671,4435.2657564885,-2732.88717674183,4393.42978355612,-2672.64768284457,4485.46892400735,25.8477580860479,-175.422657251098,-2867.82054933361,4278.56906372115,-2895.20213746873,4236.73309078877,-2834.96264357147,4328.77223124001,25.8463436049141,-175.424275836151,2230,2180,2290,2010,1960,2070
52,62,88,102,,,,,,,,,19-Sep-2017 19:21:51,19-Sep-2017 19:25:25,14-Jul-1916 00:00:00,-1575.04834523881,9157.18977333979,-1974.81953201156,8546.38456852707,-1071.22712355262,9926.97167529555,25.890382294124,-175.411384468918,-1820.56632957925,8672.50335990796,-2231.29015160604,8044.96376592229,-1261.98193162282,9525.95720772848,25.88600709146,-175.413832744406,6800,6070,7720,6260,5510,7280
