TrackID_1,TrackID_2,TrackID_3,TrackID_4,TrackID_5,TrackID_6,TrackID_7,Loc_start_time,Loc_end_time,Loc_beam_time,Loc_m_1,Loc_m_2,Loc_m_min_1,Loc_m_min_2,Loc_m_max_1,Loc_m_max_2,Loc_LatLong_1,Loc_LatLong_2,Loc_m_dilated_1,Loc_m_dilated_2,Loc_m_dilated_min_1,Loc_m_dilated_min_2,Loc_m_dilated_max_1,Loc_m_dilated_max_2,Loc_LatLong_dilated_1,Loc_LatLong_dilated_2,distance_m,distance_m_minmax_1,distance_m_minmax_2,distance_m_dilated,distance_m_dilated_minmax_1,distance_m_dilated_minmax_2
8,85,,,,,,14-Sep-2023 17:56:17,30-May-4047 12:03:05,14-Sep-2023 17:59:32,-10077.6389131972,4234.54126756241,-10077.6389131972,4234.54126756241,-10075.1470459856,4244.22582216236,24.8654058698745,-176.426924960445,-10106.9754912437,4200.7867835859,-10109.4673584554,4191.10222898594,-10104.4836240321,4210.47133818585,24.8651011314562,-176.427215155348,1590,1590,1600,1550,1540,1560
11,71,75,78,77,,,14-Sep-2023 17:58:12,12-Feb-6071 06:00:45,14-Sep-2023 17:58:43,-10177.4223236799,3124.38665175772,-10177.4223236799,3124.38665175772,-10174.9304564682,3134.07120635768,24.8553832974118,-176.427912009348,-10179.9141908916,3114.70209715777,-10182.4060581032,3105.01754255781,-10179.9141908916,3114.70209715777,24.8552958644103,-176.427936658684,490,490,500,480,470,480
55,84,86,,,,,14-Sep-2023 17:59:09,14-Sep-2023 18:01:48,14-Sep-2023 18:00:33,-10648.0590606327,3462.32312778603,-10650.5509278443,3452.63857318608,-10648.0590606327,3462.32312778603,24.8584342173202,-176.432567507417,-10650.5509278443,3452.63857318608,-10653.042795056,3442.95401858612,-10648.0590606327,3462.32312778603,24.8583467843187,-176.432592156753,700,690,700,690,680,700
12,15,40,59,76,83,,14-Sep-2023 17:55:01,14-Sep-2023 18:01:00,14-Sep-2023 17:58:43,-9546.46845164658,5295.65292086572,-9561.4196549165,5237.545593266,-9529.02538116501,5363.4448030654,24.8749856782045,-176.421670667985,-9543.97658443493,5305.33747546567,-9561.4196549165,5237.545593266,-9526.53351395335,5373.12935766535,24.8750731112061,-176.421646018649,2750,2690,2820,2760,2690,2830
13,37,53,56,,,,14-Sep-2023 17:55:06,14-Sep-2023 17:58:49,14-Jul-1916 00:00:00,-9857.73440907012,5530.62845948455,-9880.161213975,5443.46746808496,-9835.30760416524,5617.78945088413,24.8771070578117,-176.424749684029,-9822.84826810697,5666.2122238839,-9877.66934676334,5453.15202268492,-9782.97839272052,5821.16509748316,24.8783311198334,-176.424404593327,2900,2810,2990,3040,2820,3200
26,49,,,,,,14-Sep-2023 17:56:20,14-Sep-2023 17:59:58,14-Sep-2023 17:59:09,-10128.6622754252,3514.54361721419,-10131.1541426368,3504.85906261424,-10126.1704082135,3524.22817181414,24.8589056684423,-176.42742967915,-10133.6460098485,3495.17450801428,-10133.6460098485,3495.17450801428,-10131.1541426368,3504.85906261424,24.8587308024392,-176.427478977821,880,870,890,860,860,870
20,30,35,60,64,74,81,14-Sep-2023 17:55:58,14-Sep-2023 18:00:42,14-Sep-2023 18:00:42,-9064.02589575289,9859.39581242554,-9178.65178748894,9413.90630082766,-8931.95693353527,10372.6772062231,24.9161875461067,-176.416898387771,-9156.50789683072,9459.83720661578,-9266.15005414347,9033.71680421781,-9029.4226690364,9953.74949121342,24.9125802962491,-176.417813211761,7290,6830,7820,6880,6440,7390
17,24,47,57,,,,14-Sep-2023 17:55:51,14-Sep-2023 17:58:49,14-Sep-2023 17:58:49,-9271.23140137808,6525.87426930652,-9316.08501118784,6351.55228650735,-9221.39405714501,6719.56536130559,24.886092223576,-176.418948046788,-9311.38419101119,6329.69131009579,-9351.25406639765,6174.73843649653,-9264.03871398978,6513.69784749491,24.884321066751,-176.419345234725,4010,3830,4210,3810,3650,4000
19,34,41,54,61,66,,14-Sep-2023 17:55:56,14-Sep-2023 17:59:19,14-Sep-2023 17:57:16,-9262.66739455951,4592.76106574414,-9277.61859782943,4534.65373814441,-9247.71619128959,4650.86839334386,24.86863990938,-176.41886333237,-9272.35194915946,4595.25293295579,-9287.30315242938,4537.14560535607,-9257.40074588954,4653.36026055551,24.868662406174,-176.41895913115,2140,2080,2200,2140,2080,2200
14,39,51,63,,,,14-Sep-2023 17:55:20,14-Sep-2023 17:59:11,14-Sep-2023 17:55:45,-8838.98449836491,4834.8205697347,-8851.44383442318,4786.39779673493,-8824.03329509499,4892.92789733442,24.8708252436429,-176.414672297649,-8838.70158411825,4876.05065534617,-8851.16092017652,4827.6278823464,-8826.24224805999,4924.47342834594,24.8711974724431,-176.414669499086,2480,2430,2540,2520,2470,2570
22,43,62,69,,,,14-Sep-2023 17:55:59,14-Sep-2023 17:59:46,14-Sep-2023 17:55:59,-8754.8812026703,4720.24903900693,-8772.32427315187,4652.45715680725,-8732.45439776542,4807.41003040652,24.869790881895,-176.413840355091,-8715.29424153051,4833.97182699472,-8742.70478085869,4727.44172639523,-8687.88370220232,4940.50192759421,24.8708175811196,-176.413448764281,2390,2320,2480,2510,2400,2620
52,58,70,79,,,,14-Sep-2023 17:57:57,14-Sep-2023 18:00:24,14-Jul-1916 00:00:00,-10336.2383839211,5075.508754295,-10368.6326576726,4949.6095444956,-10298.8603757463,5220.7770732943,24.8729981975147,-176.429483004138,-10303.8441101696,5201.4079640944,-10348.6977199794,5027.08598129523,-10256.4986331482,5385.41450149352,24.8741348265348,-176.429162562772,2340,2210,2490,2470,2290,2660
73,80,89,,,,,14-Sep-2023 17:59:35,14-Sep-2023 18:13:20,14-Sep-2023 18:13:20,-12453.8053071721,13178.7926766041,-12560.9555972732,12762.3568288061,-12344.1631498593,13604.9130790021,24.9461553498071,-176.450429793773,-12394.2834083391,13369.9919013915,-12601.1083869063,12566.1738695954,-12334.4785952594,13602.4212117904,24.9478815130441,-176.449841008276,9660,9230,10100,9860,9030,10100
68,88,,,,,,14-Sep-2023 17:59:26,14-Sep-2023 18:12:37,14-Sep-2023 18:05:41,-10995.3761436218,8693.89754127419,-11042.7216206432,8509.89100387507,-10943.0469321771,8897.27318787322,24.9056653263084,-176.43600313809,-10986.4859707535,8929.10163313139,-11133.5061362411,8357.71291173412,-10891.7950167107,9297.11470792964,24.907788769314,-176.435915197266,5680,5490,5890,5910,5320,6290
67,87,,,,,,14-Sep-2023 17:59:25,14-Sep-2023 18:12:38,14-Sep-2023 18:05:24,-10878.8785741757,8705.22522034582,-10918.7484495621,8550.27234674655,-10834.0249643659,8879.54720314499,24.9057675935806,-176.434850754166,-10860.3038467075,8937.93744499137,-11004.8321449834,8376.23327819405,-10775.5803615113,9267.2123013898,24.9078685397923,-176.434667014562,5720,5560,5900,5950,5370,6290
72,82,,,,,,14-Sep-2023 17:59:31,14-Sep-2023 18:00:52,14-Jul-1916 00:00:00,-10758.8439841373,4636.98337684704,-10798.7138595238,4482.03050324778,-10709.0066399043,4830.67446884612,24.8690391522523,-176.433663382339,-10749.1594295374,4634.49150963539,-10794.0130393471,4460.16952683622,-10691.8464836693,4857.23626543433,24.8690166554583,-176.433567583559,1810,1650,2010,1810,1630,2040
