TrackID_1,TrackID_2,TrackID_3,TrackID_4,TrackID_5,TrackID_6,TrackID_7,TrackID_8,TrackID_9,TrackID_10,TrackID_11,Loc_start_time,Loc_end_time,Loc_beam_time,Loc_m_1,Loc_m_2,Loc_m_min_1,Loc_m_min_2,Loc_m_max_1,Loc_m_max_2,Loc_LatLong_1,Loc_LatLong_2,Loc_m_dilated_1,Loc_m_dilated_2,Loc_m_dilated_min_1,Loc_m_dilated_min_2,Loc_m_dilated_max_1,Loc_m_dilated_max_2,Loc_LatLong_dilated_1,Loc_LatLong_dilated_2,distance_m,distance_m_minmax_1,distance_m_minmax_2,distance_m_dilated,distance_m_dilated_minmax_1,distance_m_dilated_minmax_2
3,5,8,,,,,,,,,27-Sep-2023 02:59:04,27-Sep-2023 03:12:55,27-Sep-2023 03:12:52,6878.00033100141,6129.22111461678,6848.7967609704,5820.59974222426,6910.97210361706,6477.66459957608,25.358586684024,-172.054199756105,6639.98665542281,5418.48242125784,6612.66718668412,5129.77210514871,6672.95842803846,5766.92590621714,25.3521704891947,-172.056563283142,6750,6440,7100,6020,5730,6370
4,6,7,9,10,,,,,,,27-Sep-2023 03:05:35,27-Sep-2023 03:22:17,27-Sep-2023 03:16:30,7774.91686357595,5311.08864759542,7767.38045840666,5231.44442246186,7782.45326874525,5390.73287272897,25.3512009917104,-172.045293181853,7692.44648650391,5288.75846833963,7662.30086582674,4970.18156780541,7726.36030976573,5647.15748144062,25.3509994059771,-172.046112130451,6020,5940,6100,5990,5670,6350
15,26,27,41,54,,,,,,,27-Sep-2023 03:27:35,27-Sep-2023 03:31:41,27-Sep-2023 03:29:00,10867.5866370797,628.921022226129,10865.7025357874,609.00996594274,10869.470738372,648.832078509518,25.3089327150734,-172.014582305227,10884.1365197445,697.667668571827,10882.2524184522,677.756612288439,10886.962671683,727.53425299691,25.3095533255466,-172.01441796133,1650,1630,1670,1720,1700,1750
30,43,66,72,90,104,,,,,,27-Sep-2023 03:28:55,27-Sep-2023 03:36:16,27-Sep-2023 03:30:17,11464.6853909775,1737.60180500074,11461.859239039,1707.73522057566,11468.4535935621,1777.42391756752,25.3189413328287,-172.008652986061,11451.9037108973,1708.67727122182,11447.1934576665,1658.89963051335,11457.5560147743,1768.41044007199,25.3186802165481,-172.008779910895,2810,2780,2850,2780,2730,2840
24,28,48,61,,,,,,,,27-Sep-2023 03:28:05,27-Sep-2023 03:32:29,27-Sep-2023 03:29:03,10893.5800770302,1540.52638699728,10889.8118744456,1500.7042744305,10898.2903302611,1590.30402770575,25.3171622341391,-172.014324184773,10903.5356051719,1539.58433635112,10896.9412506488,1469.89563935926,10910.1299596951,1609.27303334297,25.3171537297752,-172.014225324235,2560,2520,2610,2560,2490,2630
25,40,,,,,,,,,,27-Sep-2023 03:28:08,27-Sep-2023 03:30:26,27-Sep-2023 03:28:17,10561.3613368355,-165.765120531083,10559.4772355432,-185.676176814472,10562.3033874816,-155.809592389389,25.3017586844942,-172.017623188381,10567.9556913586,-96.0764235392231,10566.0715900663,-115.987479822612,10569.8397926509,-76.1653672558347,25.3023877993313,-172.017557705021,830,810,840,900,880,920
33,36,44,50,,,,,,,,27-Sep-2023 03:28:57,27-Sep-2023 03:31:23,27-Sep-2023 03:28:57,10714.6135050836,392.279477083874,10711.7873531451,362.412892658791,10717.4396570221,422.146061508956,25.3067964331001,-172.016101361359,10721.3358523208,251.017981807831,10717.5676497361,211.195869241054,10726.9881561977,310.751150657996,25.3055211946981,-172.016034607004,1400,1370,1430,1260,1220,1320
38,37,45,70,,,,,,,,27-Sep-2023 03:29:34,24-Jun-4047 06:59:19,14-Jul-1916 00:00:00,10376.3687951005,3929.876191828,10337.7447186079,3521.69953801854,10422.5292767624,4417.69707077102,25.3387320937883,-172.019460204145,10471.0627797486,3338.32479991731,10440.9171590714,3019.74789938309,10507.8027549489,3726.59039744339,25.3333918625367,-172.018519872492,4890,4480,5380,4310,3990,4700
22,,,,,,,,,,,27-Sep-2023 03:27:41,27-Sep-2023 03:29:33,27-Sep-2023 03:27:41,10378.0327003825,1187.52369234526,10369.554244567,1097.92393907002,10387.4532068441,1287.07897376221,25.3139755016799,-172.019443681207,10400.4908723522,894.103123005323,10393.8965178291,824.414426013463,10408.0272775215,973.747348138877,25.3113266469639,-172.019220666725,2160,2070,2260,1870,1800,1950
29,,,,,,,,,,,27-Sep-2023 03:28:55,27-Sep-2023 03:29:58,14-Jul-1916 00:00:00,10653.9152347632,-355.327184189358,10652.0311334709,-375.238240472746,10655.7993360555,-335.416127905969,25.3000474126244,-172.01670410825,10658.625487994,-305.549543480886,10655.7993360555,-335.416127905969,10660.5095892863,-285.638487197498,25.3004967803652,-172.016657334422,650,630,670,700,670,720
