TrackID_1,TrackID_2,TrackID_3,TrackID_4,TrackID_5,TrackID_6,TrackID_7,Loc_start_time,Loc_end_time,Loc_beam_time,Loc_m_1,Loc_m_2,Loc_m_min_1,Loc_m_min_2,Loc_m_max_1,Loc_m_max_2,Loc_LatLong_1,Loc_LatLong_2,Loc_m_dilated_1,Loc_m_dilated_2,Loc_m_dilated_min_1,Loc_m_dilated_min_2,Loc_m_dilated_max_1,Loc_m_dilated_max_2,Loc_LatLong_dilated_1,Loc_LatLong_dilated_2,distance_m,distance_m_minmax_1,distance_m_minmax_2,distance_m_dilated,distance_m_dilated_minmax_1,distance_m_dilated_minmax_2
22,,,,,,,22-Nov-2023 00:42:41,22-Nov-2023 00:47:16,22-Nov-2023 00:46:18,975.189782344169,2489.3231220608,957.03280558468,2480.93716982177,984.268270723913,2493.51609818032,17.5358540336935,-153.962128243148,852.283921147261,2421.54296800782,843.205432767517,2417.3499918883,870.440897906751,2429.92892024685,17.5352415751683,-153.963285623169,1930,1910,1940,1790,1780,1810
18,34,43,49,81,,,22-Nov-2023 00:41:46,22-Nov-2023 00:49:58,22-Nov-2023 00:47:58,2911.52691469159,4044.53966964913,2847.97749603338,4015.18883681251,2975.0763333498,4073.89050248575,17.5499069028042,-153.943894141943,3167.80219774657,4228.99285963263,3086.09580232887,4191.25607455698,3249.50859316427,4266.72964470829,17.5515736138097,-153.941480848633,4340,4270,4410,4650,4560,4740
67,,,,,,,22-Nov-2023 00:51:48,22-Nov-2023 00:52:49,22-Nov-2023 00:52:20,-1387.93671249092,3766.12896846362,-1387.93671249092,3766.12896846362,-1387.93671249092,3766.12896846362,17.5473911958122,-153.984381334796,-1387.93671249092,3766.12896846362,-1387.93671249092,3766.12896846362,-1387.93671249092,3766.12896846362,17.5473911958122,-153.984381334796,320,320,320,320,320,320
99,122,123,127,,,,22-Nov-2023 00:52:12,14-Oct-4047 01:46:38,22-Nov-2023 00:53:20,-993.482013868154,4366.88307018447,-1011.63899062764,4358.49711794543,-966.24654872892,4379.46199854302,17.5528195837575,-153.980666833444,-997.674989987671,4375.96155856421,-1024.91045512691,4363.38263020566,-970.439524848437,4388.54048692276,17.5529016165838,-153.980706317865,930,910,960,930,900,960
93,,,,,,,22-Nov-2023 00:51:17,22-Nov-2023 00:53:26,22-Nov-2023 00:52:22,-1074.38259531938,3921.96162102647,-1074.38259531938,3921.96162102647,-1074.38259531938,3921.96162102647,17.5487992928859,-153.98142865811,-1101.61806045861,3909.38269266792,-1110.69654883836,3905.1897165484,-1092.53957207887,3913.57566878743,17.5486856302362,-153.981685129062,670,670,670,640,630,650
45,68,101,132,136,137,,22-Nov-2023 00:43:54,14-Oct-4047 01:56:56,22-Nov-2023 00:57:34,6211.65226305842,9181.66655975675,6111.78889088123,9135.54382244206,6329.6726119951,9236.17524931047,17.5963257580456,-153.912817518669,6153.68089280114,9187.93714429839,6026.58205548472,9129.23547862515,6271.70124173782,9242.44583385212,17.5963824187749,-153.91336342352,9490,9380,9620,9440,9300,9570
97,,,,,,,22-Nov-2023 00:51:27,22-Nov-2023 00:52:24,22-Nov-2023 00:51:50,-1208.4067940429,3639.76042656316,-1217.48528242265,3635.56745044364,-1208.4067940429,3639.76042656316,17.5462493351615,-153.982690737302,-1203.52128178268,3653.03189106242,-1212.59977016242,3648.83891494291,-1203.52128178268,3653.03189106242,17.5463692555378,-153.982644731406,430,420,430,440,430,440
73,74,72,71,79,80,78,22-Nov-2023 00:49:33,28-Jul-8095 03:19:14,22-Nov-2023 00:49:55,-1368.13034852322,2816.96738688418,-1368.13034852322,2816.96738688418,-1368.13034852322,2816.96738688418,17.5388146130261,-153.98419482221,-1368.13034852322,2816.96738688418,-1368.13034852322,2816.96738688418,-1368.13034852322,2816.96738688418,17.5388146130261,-153.98419482221,-60,-60,-60,-60,-60,-60
19,27,37,56,,,,22-Nov-2023 00:41:30,22-Nov-2023 00:48:09,22-Nov-2023 00:43:10,3726.96637174955,2636.71919392326,3663.41695309134,2607.36836108664,3799.59427878751,2670.2630028794,17.5371858981908,-153.936215310949,3545.39660415466,2552.85967153292,3481.84718549645,2523.5088386963,3618.02451119262,2586.40348048905,17.5364281471923,-153.937925117295,4490,4420,4570,4290,4220,4370
14,26,55,,,,,22-Nov-2023 00:40:31,22-Nov-2023 00:45:48,22-Nov-2023 00:40:47,4624.57820471439,2148.05469007475,4452.08692549924,2068.38814380393,4806.14797230928,2231.9142124651,17.5327703469788,-153.927762679053,4815.22646068902,2236.10718858462,4488.40087901822,2085.160048282,5087.58111208136,2361.89647217013,17.5335659855273,-153.925967382389,5100,4910,5300,5310,4950,5610
