TrackID_1,TrackID_2,TrackID_3,TrackID_4,TrackID_5,TrackID_6,TrackID_7,TrackID_8,TrackID_9,Loc_start_time,Loc_end_time,Loc_beam_time,Loc_m_1,Loc_m_2,Loc_m_min_1,Loc_m_min_2,Loc_m_max_1,Loc_m_max_2,Loc_LatLong_1,Loc_LatLong_2,Loc_m_dilated_1,Loc_m_dilated_2,Loc_m_dilated_min_1,Loc_m_dilated_min_2,Loc_m_dilated_max_1,Loc_m_dilated_max_2,Loc_LatLong_dilated_1,Loc_LatLong_dilated_2,distance_m,distance_m_minmax_1,distance_m_minmax_2,distance_m_dilated,distance_m_dilated_minmax_1,distance_m_dilated_minmax_2
1,4,5,,,,,,,05-May-2024 22:55:42,05-May-2024 23:07:54,05-May-2024 23:03:56,-388.844879208298,2839.24373442997,-354.434549579871,2767.02234414383,-427.556500040279,2920.49279850187,8.77089610071326,-146.838123937696,-194.48696970802,2710.30575315726,-155.77534887604,2629.05668908535,-237.499881743554,2800.58249101493,8.76973022442958,-146.83635761009,2730,2650,2820,2530,2440,2630
6,8,,,,,,,,05-May-2024 23:20:54,05-May-2024 23:25:21,05-May-2024 23:25:16,3577.58181689595,3488.44267499561,3607.69085532082,3425.24895849524,3538.87019606397,3569.69173906752,8.77676625348537,-146.802076992188,3487.25470162133,3678.02382449673,3586.18439930305,3470.38732742407,3427.03662477158,3804.41125749747,8.77848047425923,-146.802897886371,1610,1540,1700,1820,1590,1960
7,38,44,49,55,,,,,05-May-2024 23:26:56,05-May-2024 23:35:22,05-May-2024 23:33:40,4738.17478060118,4539.88167588815,4746.77736300828,4521.82632831662,4729.57219819407,4557.93702345969,8.78627352033398,-146.791529505867,4787.66481815051,4319.7663965835,4800.56869176117,4292.6833752262,4779.06223574341,4337.82174415504,8.7842832054455,-146.791079739661,2060,2040,2080,1840,1810,1860
14,21,46,51,56,,,,,05-May-2024 23:28:55,05-May-2024 23:36:35,05-May-2024 23:33:03,4938.68547907049,3793.56039132008,4942.98677027404,3784.53271753431,4938.68547907049,3793.56039132008,8.77952517297273,-146.789707261622,4968.3694261167,3708.01003604461,4985.57459093091,3671.89934090154,4955.46555250604,3735.09305740192,8.778751614016,-146.789437493464,1300,1290,1300,1210,1170,1240
10,15,19,23,48,,,,,05-May-2024 23:26:00,05-May-2024 23:34:38,05-May-2024 23:33:42,4603.08401035943,4962.90706968325,4624.5904663772,4917.76870075441,4577.27626313811,5017.07311239785,8.79009857846777,-146.79275721282,4749.80338007585,4445.72873820559,4775.61112729717,4391.56269549098,4711.09175924387,4526.9778022775,8.78542217555566,-146.79142382498,2500,2450,2560,1970,1910,2060
24,28,36,45,52,,,,,05-May-2024 23:30:44,05-May-2024 23:35:24,05-May-2024 23:32:43,4675.45653289641,4299.53521470172,4688.36040650707,4272.45219334441,4662.55265928575,4326.61823605902,8.78410027210876,-146.792099490246,4666.8539504893,4317.59056227325,4701.26428011773,4245.36917198711,4632.44362086087,4389.81195255939,8.78426353123008,-146.792177670644,1870,1840,1900,1890,1810,1970
9,12,16,18,20,26,30,47,54,05-May-2024 23:25:40,05-May-2024 23:35:25,05-May-2024 23:32:34,4375.26670882194,4743.59159571897,4392.47187363615,4707.4809005759,4358.06154400773,4779.70229086204,8.78811549553739,-146.794827619885,4358.48663538639,4802.05892963713,4418.70471223613,4675.67149663638,4281.06339372243,4964.55705778094,8.78864416581214,-146.794980117445,2400,2360,2440,2460,2320,2640
13,17,22,31,33,40,43,57,,05-May-2024 23:27:09,05-May-2024 23:36:08,05-May-2024 23:31:59,4367.66544142299,4108.57803623073,4380.56931503365,4081.49501487342,4354.76156781233,4135.66105758803,8.78237360907758,-146.794896700317,4390.02208019808,4108.15294485207,4411.52853621585,4063.01457592323,4368.51562418031,4153.2913137809,8.7823697653385,-146.794693522848,1830,1800,1860,1820,1770,1870
11,29,35,54,,,,,,05-May-2024 23:27:08,05-May-2024 23:35:25,05-May-2024 23:32:29,4361.0875610753,4703.60470075101,4395.49789070372,4631.38331046487,4326.67723144687,4775.82609103715,8.78775392812303,-146.794956480193,4524.53662681033,4360.55309689184,4554.6456652352,4297.35938039147,4494.42758838545,4423.74681339221,8.78465200481795,-146.793471052624,2370,2290,2450,1990,1920,2060
27,34,42,53,,,,,,05-May-2024 23:31:00,05-May-2024 23:35:20,05-May-2024 23:32:26,4826.90228519504,3795.68584821338,4835.50486760215,3777.63050064184,4818.29970278794,3813.74119578491,8.7795443916681,-146.79072314897,4829.92830226262,3719.58825810235,4842.83217587328,3692.50523674504,4817.02442865196,3746.67127945965,8.77885630601111,-146.790695648481,1350,1330,1370,1280,1250,1310
25,32,39,41,50,,,,,05-May-2024 23:30:57,05-May-2024 23:35:15,05-May-2024 23:35:15,5005.12879434931,4700.30472455561,5030.93654157063,4646.13868184101,4975.01975592444,4763.49844105599,8.78772408925053,-146.789103423772,5064.9217798204,4551.56065277978,5120.83856546659,4434.2008935648,5004.70370297065,4677.94808578052,8.78637912336918,-146.78856002422,2090,2030,2160,1930,1800,2070
