TrackID_1,TrackID_2,TrackID_3,TrackID_4,TrackID_5,TrackID_6,TrackID_7,Loc_start_time,Loc_end_time,Loc_beam_time,Loc_m_1,Loc_m_2,Loc_m_min_1,Loc_m_min_2,Loc_m_max_1,Loc_m_max_2,Loc_LatLong_1,Loc_LatLong_2,Loc_m_dilated_1,Loc_m_dilated_2,Loc_m_dilated_min_1,Loc_m_dilated_min_2,Loc_m_dilated_max_1,Loc_m_dilated_max_2,Loc_LatLong_dilated_1,Loc_LatLong_dilated_2,distance_m,distance_m_minmax_1,distance_m_minmax_2,distance_m_dilated,distance_m_dilated_minmax_1,distance_m_dilated_minmax_2
4,8,12,21,30,34,,15-May-2024 03:34:20,15-May-2024 03:38:38,15-May-2024 03:35:07,430.756640119444,2158.07289129869,413.290846762541,2122.08753229792,448.222433476346,2194.05825029945,14.5044502431368,-155.310182866945,356.790461424347,1982.77598770582,339.324668067445,1946.79062870506,378.622703120476,2027.75768645678,14.5028658174518,-155.310868977868,2130,2090,2170,1940,1900,1990
7,14,17,26,,,,15-May-2024 03:34:33,15-May-2024 03:39:51,14-Jul-1916 00:00:00,2163.59191871546,3506.8063331815,2111.19453864475,3398.8502561792,2220.3557471254,3623.75874993399,14.5166408059121,-155.294109071676,2066.2128398938,3420.68249787533,1983.25032144851,3249.75204262169,2149.17535833909,3591.61295312897,14.5158623733559,-155.295012360867,4100,3980,4230,3980,3790,4170
22,36,44,52,,,,15-May-2024 03:37:08,15-May-2024 03:40:42,14-Jul-1916 00:00:00,509.50406941689,2686.74939198606,478.938931042311,2623.77501373472,540.06920779147,2749.7237702374,14.5092286996274,-155.309452405099,531.336311113018,2731.73109073701,457.106689346182,2578.79331498376,592.466587862178,2857.67984723969,14.5096352678976,-155.309249889033,2640,2570,2710,2690,2520,2830
28,40,50,53,73,96,,15-May-2024 03:37:39,15-May-2024 03:42:21,14-Jul-1916 00:00:00,575.566955959784,3532.82013076717,545.001817585205,3469.84575251583,610.49854267359,3604.7908487687,14.5168759323075,-155.308839605183,403.694812299543,3316.11764754736,373.129673924964,3253.14326929602,438.626399013348,3388.08836554889,14.5149172611993,-155.310433892697,3430,3360,3510,3160,3090,3240
27,41,42,,,,,15-May-2024 03:37:36,15-May-2024 03:39:27,14-Jul-1916 00:00:00,-24.2171249445712,2434.4763520286,-85.3474016937305,2308.52759552592,50.0124968222649,2587.41412778186,14.5069485231043,-155.314403207587,-6.75133158766857,2470.46171102937,-85.3474016937305,2308.52759552592,76.2111868576189,2641.392166283,14.5072737777204,-155.314241194734,2180,2040,2350,2220,2040,2410
38,43,56,95,,,,15-May-2024 03:38:28,15-May-2024 03:41:56,15-May-2024 03:39:13,-733.87419292273,2689.989259469,-755.706434618858,2645.00756071804,-707.675502887376,2743.96729797014,14.5092579832551,-155.320985992784,-729.244301511764,2676.62647137958,-759.809439886344,2613.65209312824,-689.946266458733,2757.5935291313,14.5091372033426,-155.320943045871,2100,2050,2160,2090,2020,2180
33,48,60,66,84,,,15-May-2024 03:38:15,15-May-2024 03:42:06,15-May-2024 03:40:43,-310.552871778552,4340.83724128463,-358.583803510034,4241.87750403252,-262.52194004707,4439.79697853673,14.5241792162651,-155.31705926049,-363.47713799274,4277.59941996155,-415.874518063448,4169.64334295925,-302.346861243581,4403.54817646423,14.5236076395497,-155.317550186448,3770,3660,3880,3690,3570,3830
32,39,47,55,86,,,15-May-2024 03:38:07,15-May-2024 03:42:16,15-May-2024 03:38:45,-672.368389221475,2404.47737510853,-681.101285899927,2386.48469560815,-659.269044203798,2431.46639435911,14.5066773765605,-155.320415464409,-646.169699186121,2458.45541360968,-672.368389221475,2404.47737510853,-624.337457489993,2503.43711236064,14.5071652584846,-155.32017244513,1870,1850,1900,1930,1870,1980
37,65,90,98,105,109,114,15-May-2024 03:38:28,15-May-2024 03:45:30,15-May-2024 03:38:43,53.1402804248487,4219.89390314501,31.3080387287202,4174.91220439405,79.3389704602025,4273.87194164616,14.5230860667145,-155.313685639615,-21.3527844137275,4089.31525523137,-82.4830611628868,3963.36649872869,57.2432856923342,4251.24937073481,14.5219058281625,-155.314376637939,3820,3770,3880,3670,3530,3850
64,71,103,,,,,15-May-2024 03:40:18,15-May-2024 03:43:22,14-Jul-1916 00:00:00,-170.226830210525,3439.05644638054,-213.891313602781,3349.09304887863,-122.195898479042,3538.01618363265,14.5160284467739,-155.315757594896,-178.959726888976,3421.06376688016,-218.257761942007,3340.09670912844,-130.928795157494,3520.02350413226,14.5158658194659,-155.315838601322,3020,2920,3130,3000,2910,3110
