Cruise,AC_ID,VIS_ID,Detection Type,Mixed Species Encounter (Y/N),Array Processing Name,Hydrophones Used,Banter Score,Localization_Status,Stock,Stock Justification,Stock Overlap,LAT_AC,LON_AC,Start_Time,End_Time,Processed_StartTime,Processed_EndTime,LAT_AC_END,LON_AC_END,Notes
2010 HICEAS,1641071,S035,Visual,,hiceas2010c,,,4. Paused,HIPelagic,Genetically identified as not NWHI or MHI; photo-ID match to animal outside NWHI area,,28.9011,-176.9941,09/02/2010 2:30:00,09/02/2010 5:57:00,,,,,
2010 HICEAS,1641083,S047,Visual,,hiceas2010c,,,4. Paused,HIPelagic,Within HI pelagic assessment area,,29.23289,-174.882,09/05/2010 17:15:00,09/05/2010 19:15:00,,,,,
2010 HICEAS,1641098,S061,Visual,,hiceas2010c,,,4. Paused,HIPelagic,Within HI pelagic assessment area,,31.3668,-177.2191,09/07/2010 20:06:30,09/07/2010 22:29:00,,,,,
2010 HICEAS,1641116,S074,Visual,,hiceas2010c,,,4. Paused,HIPelagic,Genetically identified as not MHI or NWHI; within HI pelagic assessment area,,29.643,-173.2723,09/10/2010 21:23:00,09/11/2010 2:11:00,,,,,
2010 HICEAS,1641325,S241,Visual,,hiceas2010d,,,4. Paused,HIPelagic,Genetically identified as not MHI or NWHI; within HI pelagic assessment area,,26.71771,179.0239,11/10/2010 21:36:00,11/11/2010 0:05:00,,,,,
2010 HICEAS,1641224,S140,Visual,,hiceas2010d,,,4. Paused,NWHI,Genetically identified as insular; within NWHI area outside of overlap with MHI area,,24.472,-168.6277,10/08/2010 1:12:00,10/08/2010 3:18:00,,,,,
2010 HICEAS,1641291,S200,Visual,,hiceas2010d,,,4. Paused,NWHI,Genetically identified as insular; within NWHI area outside of overlap with MHI area,,23.4578,-162.2288,10/21/2010 3:16:00,10/21/2010 4:27:00,,,,,
2010 HICEAS,1641299,S206,Visual,,hiceas2010d,,,4. Paused,NWHI,Genetically identified as insular; photo-ID matches to NWHI stock,,23.177,-162.0642,10/22/2010 2:34:00,10/22/2010 4:10:00,,,,,
2010 HICEAS,1642033,S086,Visual,,pifscseiche,,,4. Paused,NWHI,Genetically identified as insular; tag data show restricted movement nearshore NWHI; photo-ID matches to NWHI stock,,23.01634,-162.5203,09/26/2010 21:25:35,09/27/2010 0:00:30,,,,,
2011 PICEAS,1108009,S004,Visual,,pifscoil2_2011,,,4. Paused,Palmyra,Within Palmyra EEZ,,7.2365,-164.9374,10/26/2011 22:13:21,10/27/2011 1:02:00,,,,,
